Abjurant Salt.MOD	OUTPUTNAME:淨潔鹽（Abjurant Salt）
Cautionary Creance.MOD	OUTPUTNAME:告誡皮帶（Cautionary Creance）
Censer of Conjuring Air Elementals.MOD	OUTPUTNAME:風元素魔術提爐（Censer of Conjuring Air Elementals）
Chalice of Poison Weeping.MOD	OUTPUTNAME:驅毒聖盃（Chalice of Poison Weeping）
Chaos Emerald.MOD	OUTPUTNAME:混沌翡翠（Chaos Emerald）
Chime of Resounding Silence.MOD	OUTPUTNAME:迴響沉默鐘琴（Chime of Resounding Silence）
Coin of the Untrodden Road.MOD	OUTPUTNAME:無前硬幣（Coin of the Untrodden Road）
Concealing Pocket.MOD	OUTPUTNAME:隱蔽口袋（Concealing Pocket）
Dowsing Syrup.MOD	OUTPUTNAME:尋物糖漿（Dowsing Syrup）
Dragonbone Divination Sticks.MOD	OUTPUTNAME:龍骨預言簽（Dragonbone Divination Sticks）
Drinking Horn of Bottomless Valor.MOD	OUTPUTNAME:勇氣飲用角杯（Drinking Horn of Bottomless Valor）
Drum of Advance And Retreat.MOD	OUTPUTNAME:進退之鼓（Drum of Advance And Retreat）
Drums of Haste.MOD	OUTPUTNAME:加速鼓（Drums of Haste）
Dry Load Powder Horn.MOD	OUTPUTNAME:干填火藥角（Dry Load Powder Horn）
Dust of Acid Consumption.MOD	OUTPUTNAME:消酸粉（Dust of Acid Consumption）
Dust of Darkness.MOD	OUTPUTNAME:黑暗粉（Dust of Darkness）
Dust of Weighty Burdens.MOD	OUTPUTNAME:重負粉（Dust of Weighty Burdens）
Elixir of Dragon Breath.MOD	OUTPUTNAME:龍息靈藥（Elixir of Dragon Breath）
Elixir of Sex Shift.MOD	OUTPUTNAME:性轉靈藥（Elixir of Sex Shift）
Embalming Thread.MOD	OUTPUTNAME:防腐繩（Embalming Thread）
Exorcist's Aspergillum.MOD	OUTPUTNAME:招魂者的水灑（Exorcist's Aspergillum）
Eye of the Void.MOD	OUTPUTNAME:空虛之眼（Eye of the Void）
Far-Reaching Sight.MOD	OUTPUTNAME:及遠瞄準鏡（Far-Reaching Sight）
Formula Alembic.MOD	OUTPUTNAME:公式蒸餾器（Formula Alembic）
Goblin Fire Drum (Greater).MOD	OUTPUTNAME:高等地精燃燒之鼓（Goblin Fire Drum (Greater)）
Goblin Fire Drum (Normal).MOD	OUTPUTNAME:地精燃燒之鼓（Goblin Fire Drum (Normal)）
Goblin Skull Bomb.MOD	OUTPUTNAME:地精頭骨炸彈（Goblin Skull Bomb）
Grave Salt.MOD	OUTPUTNAME:祝聖鹽（Grave Salt）
Grim Lantern.MOD	OUTPUTNAME:殘忍燈籠（Grim Lantern）
Harp of Contagion.MOD	OUTPUTNAME:疫病豎琴（Harp of Contagion  ）
Harp of Shattering.MOD	OUTPUTNAME:粉碎豎琴（Harp of Shattering）
Hexing Doll.MOD	OUTPUTNAME:巫術人偶（Hexing Doll）
Horn of Antagonism.MOD	OUTPUTNAME:敵意號角（Horn of Antagonism）
Horn of Battle Clarity.MOD	OUTPUTNAME:明晰戰鬥號角（Horn of Battle Clarity）
Horn of Blasting.MOD	OUTPUTNAME:音爆號角（Horn of Blasting  ）
Horn of Judgment.MOD	OUTPUTNAME:審判號角（Horn of Judgment）
Horn of the Tritons.MOD	OUTPUTNAME:梭螺號角（Horn of the Tritons）
Horsemaster's Saddle.MOD	OUTPUTNAME:坐騎主馬鞍（Horsemaster's Saddle  ）
Hourglass of Last Chances.MOD	OUTPUTNAME:最終機會沙漏（Hourglass of Last Chances）
Hybridization Funnel.MOD	OUTPUTNAME:雜化漏斗（Hybridization Funnel）
Incense of Transcendence.MOD	OUTPUTNAME:超凡熏香（Incense of Transcendence）
Insignia of Valor.MOD	OUTPUTNAME:勇猛憑證（Insignia of Valor）
Insistent Doorknocker.MOD	OUTPUTNAME:緊急敲門器（Insistent Doorknocker）
Instant Bridge.MOD	OUTPUTNAME:折疊橋（Instant Bridge）
Iron Rope.MOD	OUTPUTNAME:鐵繩（Iron Rope）
Iron Spike of Safe Passage.MOD	OUTPUTNAME:安全通路鐵刺（Iron Spike of Safe Passage）
Last Leaves of the Autumn Dryad.MOD	OUTPUTNAME:秋之森女神最後的樹葉（Last Leaves of the Autumn Dryad）
Life Link Badge.MOD	OUTPUTNAME:生命連結徽章（Life Link Badge）
Loathsome Mirror.MOD	OUTPUTNAME:憎惡鏡（Loathsome Mirror）
Malleable Symbol.MOD	OUTPUTNAME:百變神徽（Malleable Symbol  ）
Mantle of Faith.MOD	OUTPUTNAME:信仰披肩（Mantle of Faith）
Mantle of Spell Resistance.MOD	OUTPUTNAME:法術抵抗披肩（Mantle of Spell Resistance）
Manual of War.MOD	OUTPUTNAME:戰爭手冊（Manual of War）
Martyr's Tear.MOD	OUTPUTNAME:烈士之淚（Martyr's Tear）
Master's Perfect Golden Bell.MOD	OUTPUTNAME:大師的完美黃金鈴（Master's Perfect Golden Bell）
Migrus Locker.MOD	OUTPUTNAME:貓妖箱（Migrus Locker  ）
Mirror of Guarding Reflections.MOD	OUTPUTNAME:鏡像保護鏡（Mirror of Guarding Reflections）
Mirror of Mental Prowess.MOD	OUTPUTNAME:靈光鏡（Mirror of Mental Prowess）
Naga-Scale Bindi (Dark Naga).MOD	OUTPUTNAME:娜迦鱗片約束（黑暗娜迦）（Naga-Scale Bindi (Dark Naga)）
Naga-Scale Bindi (Guardian Naga).MOD	OUTPUTNAME:娜迦鱗片約束（守護娜迦）（Naga-Scale Bindi (Guardian Naga)）
Naga-Scale Bindi (Spirit Naga).MOD	OUTPUTNAME:娜迦鱗片約束（幽魂娜迦）（Naga-Scale Bindi (Spirit Naga)）
Naga-Scale Bindi (Lunar Naga).MOD	OUTPUTNAME:娜迦鱗片約束（月娜迦）（Naga-Scale Bindi (Lunar Naga)）
Naga-Scale Bindi (Royal Naga).MOD	OUTPUTNAME:娜迦鱗片約束（帝王娜迦）（Naga-Scale Bindi (Royal Naga)）
Naga-Scale Bindi (Water Naga).MOD	OUTPUTNAME:娜迦鱗片約束（水娜迦）（Naga-Scale Bindi (Water Naga)）
Needles of Fleshgraving.MOD	OUTPUTNAME:血肉畫板紋身針（Needles of Fleshgraving）
Nightdrops.MOD	OUTPUTNAME:夜臨（Nightdrops）
Noble's Vigilant Pillbox.MOD	OUTPUTNAME:貴族救星丸藥套裝（Noble's Vigilant Pillbox）
Oil of Silence.MOD	OUTPUTNAME:寂靜油（Oil of Silence）
Orb of Foul Abaddon.MOD	OUTPUTNAME:腐爛地獄之球（Orb of Foul Abaddon）
Orb of Golden Heaven.MOD	OUTPUTNAME:金色天堂之球（Orb of Golden Heaven）
Orb of Pure Law.MOD	OUTPUTNAME:純正秩序之球（Orb of Pure Law）
Orb of Utter Chaos.MOD	OUTPUTNAME:完全混亂之球（Orb of Utter Chaos）
Origami Swarm.MOD	OUTPUTNAME:折紙集群（Origami Swarm）
Ornament of Healing Light.MOD	OUTPUTNAME:醫療光裝飾（Ornament of Healing Light）
Page of Spell Knowledge.MOD	OUTPUTNAME:法術知識書頁（Page of Spell Knowledge）
Pipes of Dissolution.MOD	OUTPUTNAME:融化樂笙（Pipes of Dissolution）
Pipes of Pain.MOD	OUTPUTNAME:刺耳樂笙（Pipes of Pain  ）
Polymorphic Pouch.MOD	OUTPUTNAME:變形袋（Polymorphic Pouch）
Prayer Wheel of Ethical Strength (Sacred).MOD	OUTPUTNAME:道力祈禱轉輪（神聖）（Prayer Wheel of Ethical Strength (Sacred)）
Prayer Wheel of Ethical Strength (Profane).MOD	OUTPUTNAME:道力祈禱轉輪（邪惡）（Prayer Wheel of Ethical Strength (Profane)）
Preserving Flask (1st).MOD	OUTPUTNAME:1環保質瓶（Preserving Flask (1st)）
Preserving Flask (2nd).MOD	OUTPUTNAME:2環保質瓶（Preserving Flask (2nd)）
Preserving Flask (3rd).MOD	OUTPUTNAME:3環保質瓶（Preserving Flask (3rd)）
Preserving Flask (4th).MOD	OUTPUTNAME:4環保質瓶（Preserving Flask (4th)）
Preserving Flask (5th).MOD	OUTPUTNAME:5環保質瓶（Preserving Flask (5th)）
Preserving Flask (6th).MOD	OUTPUTNAME:6環保質瓶（Preserving Flask (6th)）
Pyxes of Redirected Focus.MOD	OUTPUTNAME:改之理賽錢箱（Pyxes of Redirected Focus）
Racing Broom of Flying.MOD	OUTPUTNAME:飛行比賽掃帚（Racing Broom of Flying）
Restless Lockpicks.MOD	OUTPUTNAME:自動撬鎖工具（Restless Lockpicks）
Rope of Knots.MOD	OUTPUTNAME:打結繩（Rope of Knots）
Runestone of Power (1st Level).MOD	OUTPUTNAME:1级力量符文石（Runestone of Power (1st Level)）
Runestone of Power (2nd Level).MOD	OUTPUTNAME:2级力量符文石（Runestone of Power (2nd Level)）
Runestone of Power (3rd Level).MOD	OUTPUTNAME:3级力量符文石（Runestone of Power (3rd Level)）
Runestone of Power (4th Level).MOD	OUTPUTNAME:4级力量符文石（Runestone of Power (4th Level)）
Runestone of Power (5th Level).MOD	OUTPUTNAME:5级力量符文石（Runestone of Power (5th Level)）
Runestone of Power (6th Level).MOD	OUTPUTNAME:6级力量符文石（Runestone of Power (6th Level)）
Runestone of Power (7th Level).MOD	OUTPUTNAME:7级力量符文石（Runestone of Power (7th Level)）
Runestone of Power (8th Level).MOD	OUTPUTNAME:8级力量符文石（Runestone of Power (8th Level)）
Runestone of Power (9th Level).MOD	OUTPUTNAME:9级力量符文石（Runestone of Power (9th Level)）
Scabbard of Honing.MOD	OUTPUTNAME:研磨之鞘（Scabbard of Honing）
Scabbard of Many Blades.MOD	OUTPUTNAME:眾刃之鞘（Scabbard of Many Blades）
School of Eyes.MOD	OUTPUTNAME:眼之約束（School of Eyes）
Seeker's Sight.MOD	OUTPUTNAME:搜尋瞄準器（Seeker's Sight）
Seer's Tea.MOD	OUTPUTNAME:預言家的茶（Seer's Tea）
Shroud of Disintegration.MOD	OUTPUTNAME:湮滅裹屍布（Shroud of Disintegration）
Singing Bell of Striking (Silver).MOD	OUTPUTNAME:梵唱木魚（銀）（Singing Bell of Striking (Silver)）
Singing Bell of Striking (Cold Iron).MOD	OUTPUTNAME:梵唱木魚（寒鐵）（Singing Bell of Striking (Cold Iron)）
Snapleaf.MOD	OUTPUTNAME:快閃樹葉（Snapleaf）
Steadfast Gut-Stone.MOD	OUTPUTNAME:堅定消化石（Steadfast Gut-Stone）
Stone Familiar.MOD	OUTPUTNAME:石魔寵（Stone Familiar）
Stone Horse (Courser).MOD	OUTPUTNAME:石馬（駿馬）（Stone Horse (Courser)）
Stone Horse (Destrier).MOD	OUTPUTNAME:石馬（軍馬）（Stone Horse (Destrier)）
Stone of Alliance.MOD	OUTPUTNAME:同盟之石（Stone of Alliance）
Stone of Conjuring Earth Elementals.MOD	OUTPUTNAME:土元素魔術之石（Stone of Conjuring Earth Elementals）
Stubborn Nail.MOD	OUTPUTNAME:頑固釘子（Stubborn Nail）
Summoning Shackle.MOD	OUTPUTNAME:召喚枷鎖（Summoning Shackle）
Summon-Slave Crystal.MOD	OUTPUTNAME:奴役召喚結晶（Summon-Slave Crystal  ）
Toothpick of Pyrotechnics.MOD	OUTPUTNAME:煙火牙籤 （Toothpick of Pyrotechnics）
Traveler's Any-Tool.MOD	OUTPUTNAME:旅者萬用工具（Traveler's Any-Tool）
Treasurer's Seal.MOD	OUTPUTNAME:司庫印鑒（Treasurer's Seal）
Void Dust.MOD	OUTPUTNAME:虛空塵（Void Dust）
Void Pennant.MOD	OUTPUTNAME:扭曲戰旗（Void Pennant）
Volatile Vaporizer (1st).MOD	OUTPUTNAME:1環揮發蒸餾丸（Volatile Vaporizer (1st)）
Volatile Vaporizer (2nd).MOD	OUTPUTNAME:2環揮發蒸餾丸（Volatile Vaporizer (2nd)）
Volatile Vaporizer (3rd).MOD	OUTPUTNAME:3環揮發蒸餾丸（Volatile Vaporizer (3rd)）
Wasp Nest of Swarming.MOD	OUTPUTNAME:黃蜂集群巢穴（Wasp Nest of Swarming）
Waters of Transfiguration.MOD	OUTPUTNAME:變化之水（Waters of Transfiguration）
Werewhistle.MOD	OUTPUTNAME:回憶口哨（Werewhistle）
Wind-Caller Compass.MOD	OUTPUTNAME:喚風者羅盤（Wind-Caller Compass）
Word Bottle.MOD	OUTPUTNAME:咒字瓶（Word Bottle）
