Apparatus of the Crab.MOD	OUTPUTNAME:河蟹裝置（Apparatus of the Crab）
Candle of Invocation (Chaotic-Evil).MOD	OUTPUTNAME:祈神蠟燭（混亂邪惡）（Candle of Invocation (Chaotic-Evil)）
Candle of Truth.MOD	OUTPUTNAME:誠實蠟燭（Candle of Truth）
Carpet of Flying (10 ft by 10 ft).MOD	OUTPUTNAME:飛天魔毯（Carpet of Flying (10 ft by 10 ft）
Carpet of Flying (5 ft by 10 ft).MOD	OUTPUTNAME:飛天魔毯（Carpet of Flying (5 ft by 10 ft)）
Carpet of Flying (5 ft by 5 ft).MOD	OUTPUTNAME:飛天魔毯（Carpet of Flying (5 ft by 5 ft)）
Chime of Interruption.MOD	OUTPUTNAME:噪音鐘琴（Chime of Interruption）
Chime of Opening.MOD	OUTPUTNAME:開門鐘琴（Chime of Opening）
Crystal Ball.MOD	OUTPUTNAME:水晶球（Crystal Ball）
Crystal Ball (See Invisibility).MOD	OUTPUTNAME:識破隱形水晶球（Crystal Ball (See Invisibility)）
Crystal Ball (Telepathy).MOD	OUTPUTNAME:心靈感應水晶球（Crystal Ball (Telepathy)）
Crystal Ball (True Seeing).MOD	OUTPUTNAME:真知術水晶球（Crystal Ball (True Seeing)）
Crystal Ball (Detect Thoughts).MOD	OUTPUTNAME:偵測思想水晶球（Crystal Ball (Detect Thoughts)）
Cube of Force.MOD	OUTPUTNAME:力場魔方（Cube of Force）
Cube of Frost Resistance.MOD	OUTPUTNAME:抗寒魔方（Cube of Frost Resistance）
Cubic Gate.MOD	OUTPUTNAME:異界之門魔方（Cubic Gate）
Darkskull.MOD	OUTPUTNAME:黑顱骨（Darkskull）
Decanter of Endless Water.MOD	OUTPUTNAME:無盡水源（Decanter of Endless Water）
Deck of Illusions.MOD	OUTPUTNAME:幻術牌組（Deck of Illusions）
Drums of Panic.MOD	OUTPUTNAME:慌亂鼓（Drums of Panic）
Dust of Appearance.MOD	OUTPUTNAME:顯像粉（Dust of Appearance）
Dust of Disappearance.MOD	OUTPUTNAME:隱身粉（Dust of Disappearance）
Dust of Dryness.MOD	OUTPUTNAME:乾燥粉（Dust of Dryness）
Dust of Illusion.MOD	OUTPUTNAME:幻影塵（Dust of Illusion）
Dust of Tracelessness.MOD	OUTPUTNAME:無蹤粉（Dust of Tracelessness）
Efficient Quiver.MOD	OUTPUTNAME:效率箭袋（Efficient Quiver）
Efreeti Bottle.MOD	OUTPUTNAME:火巨靈囚瓶（Efreeti Bottle）
Elemental Gem (Air).MOD	OUTPUTNAME:元素寶石（風元素）（Elemental Gem (Air)）
Elemental Gem (Earth).MOD	OUTPUTNAME:元素寶石（土元素）（Elemental Gem (Earth)）
Elemental Gem (Fire).MOD	OUTPUTNAME:元素寶石（火元素）（Elemental Gem (Fire)）
Elemental Gem (Water).MOD	OUTPUTNAME:元素寶石（水元素）（Elemental Gem (Water)）
Elixir of Fire Breath.MOD	OUTPUTNAME:噴火靈藥（Elixir of Fire Breath）
Elixir of Hiding.MOD	OUTPUTNAME:躲藏靈藥（Elixir of Hiding）
Elixir of Love.MOD	OUTPUTNAME:愛情靈藥（Elixir of Love）
Elixir of Swimming.MOD	OUTPUTNAME:游泳靈藥（Elixir of Swimming）
Elixir of Truth.MOD	OUTPUTNAME:誠實藥水（Elixir of Truth）
Elixir of Vision.MOD	OUTPUTNAME:洞察靈藥（Elixir of Vision）
Eversmoking Bottle.MOD	OUTPUTNAME:無盡煙壺（Eversmoking Bottle）
Feather Token (Anchor).MOD	OUTPUTNAME:羽符（錨）（Feather Token (Anchor)）
Feather Token (Bird).MOD	OUTPUTNAME:羽符（鳥）（Feather Token (Bird)）
Feather Token (Fan).MOD	OUTPUTNAME:羽符（扇）（Feather Token (Fan)）
Feather Token (Swan Boat).MOD	OUTPUTNAME:羽符（天鵝船）（Feather Token (Swan Boat)）
Feather Token (Tree).MOD	OUTPUTNAME:羽符（樹）（Feather Token (Tree)）
Feather Token (Whip).MOD	OUTPUTNAME:羽符（鞭）（Feather Token (Whip)）
Boat (Folding).MOD	OUTPUTNAME:橡皮船（Folding Boat）
Gem of Brightness.MOD	OUTPUTNAME:光彩奪目寶石（Gem of Brightness）
Gem of Seeing.MOD	OUTPUTNAME:真知寶石（Gem of Seeing）
Golem Manual (Clay).MOD	OUTPUTNAME:黏土魔像手冊（Golem Manual (Clay)）
Golem Manual (Flesh).MOD	OUTPUTNAME:肉魔像手冊（Golem Manual (Flesh)）
Golem Manual (Stone).MOD	OUTPUTNAME:石魔像手冊（Golem Manual (Stone)）
Golem Manual (Stone/Greater).MOD	OUTPUTNAME:石魔像守衛手冊（Golem Manual (Stone/Greater)）
Golem Manual (Iron).MOD	OUTPUTNAME:鐵魔像手冊（Golem Manual (Iron)）
Handy Haversack.MOD	OUTPUTNAME:方便背包（Handy Haversack）
Harp of Charming.MOD	OUTPUTNAME:魅惑豎琴（Harp of Charming）
Horn of Blasting (Greater).MOD	OUTPUTNAME:高等音爆號角（Horn of Blasting, Greater）
Horn of Fog.MOD	OUTPUTNAME:迷霧號角（Horn of Fog）
Horn of Goodness/Evil.MOD	OUTPUTNAME:御善防惡號角（Horn of Goodness/Evil）
Horn of Valhalla (Silver).MOD	OUTPUTNAME:英靈號角（銀製）（Horn of Valhalla (Silver)）
Horn of Valhalla (Brass).MOD	OUTPUTNAME:英靈號角（黃銅製）（Horn of Valhalla (Brass)）
Horn of Valhalla (Bronze).MOD	OUTPUTNAME:英靈號角（青銅製）（Horn of Valhalla (Bronze)）
Horn of Valhalla (Iron).MOD	OUTPUTNAME:英靈號角（鐵製）（Horn of Valhalla (Iron)）
Incense of Meditation.MOD	OUTPUTNAME:冥想熏香（Incense of Meditation）
Instant Fortress.MOD	OUTPUTNAME:折疊要塞（Instant Fortress）
Ioun Stone (Iridescent Spindle).MOD	OUTPUTNAME:艾恩石（彩虹）（Ioun Stone (Iridescent Spindle)）
Ioun Stone (Orange Prism).MOD	OUTPUTNAME:艾恩石（橙色）（Ioun Stone (Orange Prism)）
Ioun Stone (Pale blue Rhomboid).MOD	OUTPUTNAME:艾恩石（淡藍）（Ioun Stone (Pale blue Rhomboid)）
Ioun Stone (Pale green Prism).MOD	OUTPUTNAME:艾恩石（淡綠）（Ioun Stone (Pale green Prism)）
Ioun Stone (Pale lavender Ellipsoid).MOD	OUTPUTNAME:艾恩石（淡紫）（Ioun Stone (Pale lavender Ellipsoid)）
Ioun Stone (Lavender and green Ellipsoid).MOD	OUTPUTNAME:艾恩石（淡紫與綠）（Ioun Stone (Lavender and green Ellipsoid)）
Ioun Stone (Pink Rhomboid).MOD	OUTPUTNAME:艾恩石（粉紅）（Ioun Stone (Pink Rhomboid)）
Ioun Stone (Pink and green Sphere).MOD	OUTPUTNAME:艾恩石（粉紅與綠）（Ioun Stone (Pink and green Sphere)）
Ioun Stone (Incandescent blue Sphere).MOD	OUTPUTNAME:艾恩石（亮藍）（Ioun Stone (Incandescent blue Sphere)）
Ioun Stone (Deep red Sphere).MOD	OUTPUTNAME:艾恩石（深紅）（Ioun Stone (Deep red Sphere)）
Ioun Stone (Dark blue Rhomboid).MOD	OUTPUTNAME:艾恩石（深藍）（Ioun Stone (Dark blue Rhomboid)）
Ioun Stone (Clear Spindle).MOD	OUTPUTNAME:艾恩石（透明）（Ioun Stone (Clear Spindle)）
Ioun Stone (Dusty rose Prism).MOD	OUTPUTNAME:艾恩石（土紅）（Ioun Stone (Dusty rose Prism)）
Ioun Stone (Vibrant purple Prism).MOD	OUTPUTNAME:艾恩石（鮮紫）（Ioun Stone (Vibrant purple Prism)）
Ioun Stone (Scarlet and blue Sphere).MOD	OUTPUTNAME:艾恩石（猩紅與藍）（Ioun Stone (Scarlet and blue Sphere)）
Ioun Stone (Pearly white Spindle).MOD	OUTPUTNAME:艾恩石（珍珠白）（Ioun Stone (Pearly white Spindle)）
Iron Bands of Binding.MOD	OUTPUTNAME:捆綁鐵帶（Iron Bands of Binding）
Iron Flask.MOD	OUTPUTNAME:收妖瓶（Iron Flask）
Lantern of Revealing.MOD	OUTPUTNAME:顯像提燈（Lantern of Revealing）
Lyre of Building.MOD	OUTPUTNAME:土木七絃琴（Lyre of Building）
Manual of Bodily Health (+1).MOD	OUTPUTNAME:+1強身手冊（Manual of Bodily Health (+1)）
Manual of Bodily Health (+2).MOD	OUTPUTNAME:+2強身手冊（Manual of Bodily Health (+2)）
Manual of Bodily Health (+3).MOD	OUTPUTNAME:+3強身手冊（Manual of Bodily Health (+3)）
Manual of Bodily Health (+4).MOD	OUTPUTNAME:+4強身手冊（Manual of Bodily Health (+4)）
Manual of Bodily Health (+5).MOD	OUTPUTNAME:+5強身手冊（Manual of Bodily Health (+5)）
Manual of Gainful Exercise (+1).MOD	OUTPUTNAME:+1健骨手冊（Manual of Gainful Exercise (+1)）
Manual of Gainful Exercise (+2).MOD	OUTPUTNAME:+2健骨手冊（Manual of Gainful Exercise (+2)）
Manual of Gainful Exercise (+3).MOD	OUTPUTNAME:+3健骨手冊（Manual of Gainful Exercise (+3)）
Manual of Gainful Exercise (+4).MOD	OUTPUTNAME:+4健骨手冊（Manual of Gainful Exercise (+4)）
Manual of Gainful Exercise (+5).MOD	OUTPUTNAME:+5健骨手冊（Manual of Gainful Exercise (+5)）
Manual of Quickness of Action (+1).MOD	OUTPUTNAME:+1靈巧手冊（Manual of Quickness of Action (+1)）
Manual of Quickness of Action (+2).MOD	OUTPUTNAME:+2靈巧手冊（Manual of Quickness of Action (+2)）
Manual of Quickness of Action (+3).MOD	OUTPUTNAME:+3靈巧手冊（Manual of Quickness of Action (+3)）
Manual of Quickness of Action (+4).MOD	OUTPUTNAME:+4靈巧手冊（Manual of Quickness of Action (+4)）
Manual of Quickness of Action (+5).MOD	OUTPUTNAME:+5靈巧手冊（Manual of Quickness of Action (+5)）
Marvelous Pigments.MOD	OUTPUTNAME:驚奇染料（Marvelous Pigments）
Mattock of the Titans.MOD	OUTPUTNAME:泰坦鶴嘴鋤（Mattock of the Titans）
Maul of the Titans.MOD	OUTPUTNAME:泰坦木槌（Maul of the Titans）
Mirror of Life Trapping.MOD	OUTPUTNAME:攝心鏡（Mirror of Life Trapping）
Mirror of Opposition.MOD	OUTPUTNAME:死敵分身鏡（Mirror of Opposition）
Orb of Storms.MOD	OUTPUTNAME:天變球（Orb of Storms）
Pearl of Power (1st Level).MOD	OUTPUTNAME:法力再生珍珠（1環）（Pearl of Power (1st Level)）
Pearl of Power (2nd Level).MOD	OUTPUTNAME:法力再生珍珠（2環）（Pearl of Power (2nd Level)）
Pearl of Power (3rd Level).MOD	OUTPUTNAME:法力再生珍珠（3環）（Pearl of Power (3rd Level)）
Pearl of Power (4th Level).MOD	OUTPUTNAME:法力再生珍珠（4環）（Pearl of Power (4th Level)）
Pearl of Power (5th Level).MOD	OUTPUTNAME:法力再生珍珠（5環）（Pearl of Power (5th Level)）
Pearl of Power (6th Level).MOD	OUTPUTNAME:法力再生珍珠（6環）（Pearl of Power (6th Level)）
Pearl of Power (7th Level).MOD	OUTPUTNAME:法力再生珍珠（7環）（Pearl of Power (7th Level)）
Pearl of Power (8th Level).MOD	OUTPUTNAME:法力再生珍珠（8環）（Pearl of Power (8th Level)）
Pearl of Power (9th Level).MOD	OUTPUTNAME:法力再生珍珠（9環）（Pearl of Power (9th Level)）
Pearl of Power (2 spells).MOD	OUTPUTNAME:法力再生珍珠（2個法術）（Pearl of Power (2 spells)）
Pearl of the Sirines.MOD	OUTPUTNAME:塞壬珍珠（Pearl of the Sirines  ）
Pipes of Haunting.MOD	OUTPUTNAME:顫慄樂笙（Pipes of Haunting）
Pipes of Sounding.MOD	OUTPUTNAME:幻音樂笙（Pipes of Sounding）
Pipes of the Sewers.MOD	OUTPUTNAME:喚鼠樂笙（Pipes of the Sewers）
Portable Hole.MOD	OUTPUTNAME:攜帶式次元洞（Portable Hole）
Restorative Ointment.MOD	OUTPUTNAME:滋補軟膏（Restorative Ointment）
Ring Gates.MOD	OUTPUTNAME:空間跳躍環（Ring Gates）
Rope of Climbing.MOD	OUTPUTNAME:攀爬繩（Rope of Climbing）
Rope of Entanglement.MOD	OUTPUTNAME:糾纏繩（Rope of Entanglement）
Salve of Slipperiness.MOD	OUTPUTNAME:滑溜軟膏（Salve of Slipperiness）
Scabbard of Keen Edges.MOD	OUTPUTNAME:利刃之鞘（Scabbard of Keen Edges）
Silversheen.MOD	OUTPUTNAME:銀紡（Silversheen）
Sovereign Glue (Ounce).MOD	OUTPUTNAME:至尊膠（1份）（Sovereign Glue (Ounce)）
Sovereign Glue (Flask).MOD	OUTPUTNAME:至尊膠（30份）（Sovereign Glue (Flask)）
Stone of Alarm.MOD	OUTPUTNAME:警報石（Stone of Alarm）
Stone of Good Luck (Luckstone).MOD	OUTPUTNAME:幸運石（Stone of Good Luck (Luckstone)）
Stone Salve (Ounce).MOD	OUTPUTNAME:石化軟膏（Stone Salve (Ounce)）
Strand of Prayer Beads.MOD	OUTPUTNAME:祈禱念珠項鏈（Strand of Prayer Beads）
Strand of Prayer Beads (Lesser).MOD	OUTPUTNAME:次等祈禱念珠項鏈（Strand of Prayer Beads (Lesser)）
Strand of Prayer Beads (Greater).MOD	OUTPUTNAME:高等祈禱念珠項鏈（Strand of Prayer Beads (Greater)）
Sustaining Spoon.MOD	OUTPUTNAME:維生湯匙（Sustaining Spoon）
Tome of Clear Thought (+1).MOD	OUTPUTNAME:+1靜思卷冊（Tome of Clear Thought (+1)）
Tome of Clear Thought (+2).MOD	OUTPUTNAME:+2靜思卷冊（Tome of Clear Thought (+2)）
Tome of Clear Thought (+3).MOD	OUTPUTNAME:+3靜思卷冊（Tome of Clear Thought (+3)）
Tome of Clear Thought (+4).MOD	OUTPUTNAME:+4靜思卷冊（Tome of Clear Thought (+4)）
Tome of Clear Thought (+5).MOD	OUTPUTNAME:+5靜思卷冊（Tome of Clear Thought (+5)）
Tome of Leadership And Influence (+1).MOD	OUTPUTNAME:+1統馭卷冊（Tome of Leadership And Influence (+1)）
Tome of Leadership And Influence (+2).MOD	OUTPUTNAME:+2統馭卷冊（Tome of Leadership And Influence (+2)）
Tome of Leadership And Influence (+3).MOD	OUTPUTNAME:+3統馭卷冊（Tome of Leadership And Influence (+3)）
Tome of Leadership And Influence (+4).MOD	OUTPUTNAME:+4統馭卷冊（Tome of Leadership And Influence (+4)）
Tome of Leadership And Influence (+5).MOD	OUTPUTNAME:+5統馭卷冊（Tome of Leadership And Influence (+5)）
Tome of Understanding (+1).MOD	OUTPUTNAME:+1通曉卷冊（Tome of Understanding (+1)）
Tome of Understanding (+2).MOD	OUTPUTNAME:+2通曉卷冊（Tome of Understanding (+2)）
Tome of Understanding (+3).MOD	OUTPUTNAME:+3通曉卷冊（Tome of Understanding (+3)）
Tome of Understanding (+4).MOD	OUTPUTNAME:+4通曉卷冊（Tome of Understanding (+4)）
Tome of Understanding (+5).MOD	OUTPUTNAME:+5通曉卷冊（Tome of Understanding (+5)）
Unguent of Timelessness.MOD	OUTPUTNAME:永恆油膏（Unguent of Timelessness）
Universal Solvent.MOD	OUTPUTNAME:萬溶劑（Universal Solvent）
Well of Many Worlds.MOD	OUTPUTNAME:穿界井孔（Well of Many Worlds）
Wind Fan.MOD	OUTPUTNAME:風扇（Wind Fan）
