Acrobatics.MOD	OUTPUTNAME:特技 (Acrobatics)
Perform (Percussion Instruments).MOD	OUTPUTNAME:表演 (打擊) (Perform (Percussion Instruments))	
Perform (Sing).MOD	OUTPUTNAME:表演 (演唱) (Perform (Sing))	
Perform (String Instruments).MOD	OUTPUTNAME:表演 (絃樂) (Perform (String Instruments))	
Perform (Wind Instruments).MOD	OUTPUTNAME:表演 (吹奏) (Perform (Wind Instruments))	
Perform (Untrained).MOD	OUTPUTNAME:表演 (未受訓) (Perform (Untrained))	
Profession (Architect).MOD	OUTPUTNAME:專業 (建築師) (Profession (Architect))
Profession (Baker).MOD	OUTPUTNAME:專業 (麵包師) (Profession (Baker))
Profession (Barrister).MOD	OUTPUTNAME:專業 (律師) (Profession (Barrister))
Profession (Brewer).MOD	OUTPUTNAME:專業 (釀酒師) (Profession (Brewer))
Profession (Butcher).MOD	OUTPUTNAME:專業 (屠夫) (Profession (Butcher))
Profession (Clerk).MOD	OUTPUTNAME:專業 (職員) (Profession (Clerk))
Profession (Cook).MOD	OUTPUTNAME:專業 (廚師) (Profession (Cook))
Profession (Courtesan).MOD	OUTPUTNAME:專業 (公關) (Profession (Courtesan))
Profession (Driver).MOD	OUTPUTNAME:專業 (車伕) (Profession (Driver))
Profession (Engineer).MOD	OUTPUTNAME:專業 (工程師) (Profession (Engineer))
Profession (Farmer).MOD	OUTPUTNAME:專業 (農民) (Profession (Farmer))
Profession (Fisherman).MOD	OUTPUTNAME:專業 (漁民) (Profession (Fisherman))
Profession (Gambler).MOD	OUTPUTNAME:專業 (賭徒) (Profession (Gambler))
Profession (Gardener).MOD	OUTPUTNAME:專業 (園丁) (Profession (Gardener))
Profession (Herbalist).MOD	OUTPUTNAME:專業 (採藥人) (Profession (Herbalist))
Profession (Innkeeper).MOD	OUTPUTNAME:專業 (酒吧老闆) (Profession (Innkeeper))
Profession (Librarian).MOD	OUTPUTNAME:專業 (圖書管理員) (Profession (Librarian))
Profession (Merchant).MOD	OUTPUTNAME:專業 (商人) (Profession (Merchant))
Profession (Midwife).MOD	OUTPUTNAME:專業 (接生婆) (Profession (Midwife))
Profession (Miller).MOD	OUTPUTNAME:專業 (磨坊工人) (Profession (Miller))
Profession (Miner).MOD	OUTPUTNAME:專業 (礦工) (Profession (Miner))
Profession (Porter).MOD	OUTPUTNAME:專業 (碼頭工) (Profession (Porter))
Profession (Sailor).MOD	OUTPUTNAME:專業 (水手) (Profession (Sailor))
Profession (Scribe).MOD	OUTPUTNAME:專業 (抄寫員) (Profession (Scribe))
Profession (Shepherd).MOD	OUTPUTNAME:專業 (牧人) (Profession (Shepherd))
Profession (Soldier).MOD	OUTPUTNAME:專業 (士兵) (Profession (Soldier))
Profession (Soothsayer).MOD	OUTPUTNAME:專業 (預言家) (Profession (Soothsayer))
Profession (Stable Master).MOD	OUTPUTNAME:專業 (馬店老闆) (Profession (Stable Master))
Profession (Tanner).MOD	OUTPUTNAME:專業 (皮匠) (Profession (Tanner))
Profession (Trapper).MOD	OUTPUTNAME:專業 (獵人) (Profession (Trapper))
Profession (Woodcutter).MOD	OUTPUTNAME:專業 (伐木工) (Profession (Woodcutter))
Ride.MOD	OUTPUTNAME:騎術 (Ride)
Sense Motive.MOD	OUTPUTNAME:察言觀色 (Sense Motive)
Sleight of Hand.MOD	OUTPUTNAME:巧手 (Sleight of Hand)
Spellcraft.MOD	OUTPUTNAME:法術辨識 (Spellcraft)
Stealth.MOD	OUTPUTNAME:隱匿 (Stealth)
Survival.MOD	OUTPUTNAME:生存 (Survival)
Swim.MOD	OUTPUTNAME:游泳 (Swim)
Use Magic Device.MOD	OUTPUTNAME:使用魔法裝置 (Use Magic Device)
