Achaierai.MOD	OUTPUTNAME:鹦哥兽 （Achaierai）
Daemon (Thanadaemon).MOD	OUTPUTNAME:死役邪魔 （Daemon (Thanadaemon)）
Dark Slayer.MOD	OUTPUTNAME:幽暗屠戮者 （Dark Slayer）
Death Worm.MOD	OUTPUTNAME:死亡蠕虫 （Death Worm）
Decapus.MOD	OUTPUTNAME:十腕章鱼 （Decapus）
Demon (Kalavakus).MOD	OUTPUTNAME:恶魔，缚魂魔 （Demon (Kalavakus)）
Demon (Omox).MOD	OUTPUTNAME:恶魔，泥魔 （Demon (Omox)）
Demon (Shemhazian).MOD	OUTPUTNAME:恶魔，屠虐魔 （Demon (Shemhazian)）
Demon (Vrolikai).MOD	OUTPUTNAME:恶魔，四臂蝠魔 （Demon (Vrolikai)）
Denizen of Leng.MOD	OUTPUTNAME:冷原之民 （Denizen of Leng）
Destrachan.MOD	OUTPUTNAME:暗音盲怪 （Destrachan）
Devil (Accuser).MOD	OUTPUTNAME:魔鬼，控斥魔 （Devil (Accuser)）
Devil (Belier).MOD	OUTPUTNAME:魔鬼，虚妄魔 （Devil (Belier)）
Devil (Handmaiden).MOD	OUTPUTNAME:魔鬼，仆魔 （Devil (Handmaiden)）
Devil (Immolation).MOD	OUTPUTNAME:魔鬼，燔祭魔 （Devil (Immolation)）
Devilfish.MOD	OUTPUTNAME:魔鬼鱼 （Devilfish）
Dinosaur (Allosaurus).MOD	OUTPUTNAME:异龙 （Dinosaur (Allosaurus)）
Dinosaur (Compsognathus).MOD	OUTPUTNAME:秀颌龙 （Dinosaur (Compsognathus)）
Dinosaur (Parasaurolophus).MOD	OUTPUTNAME:副栉龙 （Dinosaur (Parasaurolophus)）
Dinosaur (Tylosaurus).MOD	OUTPUTNAME:海王龙 （Dinosaur (Tylosaurus)）
Dragon Horse.MOD	OUTPUTNAME:龙马 （Dragon Horse）
Dragonfly (Giant).MOD	OUTPUTNAME:巨蜻蜓 （Dragonfly (Giant)）
Dragonfly Nymph (Giant).MOD	OUTPUTNAME:巨蜻蜓若虫 （Dragonfly Nymph (Giant)）
Drake (Flame).MOD	OUTPUTNAME:焰龙兽 （Drake (Flame)）
Drake (Forest).MOD	OUTPUTNAME:森林龙兽 （Drake (Forest)）
Drake (Frost).MOD	OUTPUTNAME:霜龙兽 （Drake (Frost)）
Drake (Sea).MOD	OUTPUTNAME:海龙兽 （Drake (Sea)）
Dragon (Brine).MOD	OUTPUTNAME:原龙，洋龙 （Dragon (Brine)）
Dragon (Cloud).MOD	OUTPUTNAME:原龙，云龙 （Dragon (Cloud)）
Dragon (Crystal).MOD	OUTPUTNAME:原龙，晶龙 （Dragon (Crystal)）
Dragon (Magma).MOD	OUTPUTNAME:原龙，熔龙 （Dragon (Magma)）
Dragon (Umbral).MOD	OUTPUTNAME:原龙，影龙 （Dragon (Umbral)）
Draugr.MOD	OUTPUTNAME:朽战尸 （Draugr）
Draugr Captain.MOD	OUTPUTNAME:朽战尸船长 （Draugr Captain）
Dullahan.MOD	OUTPUTNAME:无头骑士 （Dullahan）
Dullahan (Coach of the Silent).MOD	OUTPUTNAME:无头骑士 （Dullahan (Coach of the Silent)）
Dust Digger.MOD	OUTPUTNAME:掘尘兽 （Dust Digger）
D'ziriak.MOD	OUTPUTNAME:影界蚁族 （D'ziriak）
Elemental (Ice/Small).MOD	OUTPUTNAME:小型冰元素（Elemental (Ice/Small)）
Elemental (Ice/Medium).MOD	OUTPUTNAME:中型冰元素 （Elemental (Ice/Medium)）
Elemental (Ice/Large).MOD	OUTPUTNAME:大型冰元素 （Elemental (Ice/Large)）
Elemental (Ice/Huge).MOD	OUTPUTNAME:超大型冰元素 （Elemental (Ice/Huge)）
Elemental (Ice/Greater).MOD	OUTPUTNAME:菁英冰元素 （Elemental (Ice/Greater)）
Elemental (Ice/Elder).MOD	OUTPUTNAME:冰元素长老 （Elemental (Ice/Elder)）
Elemental (Lightning/Small).MOD	OUTPUTNAME:小型闪电元素（Elemental (Lightning/Small)）
Elemental (Lightning/Medium).MOD	OUTPUTNAME:中型闪电元素 （Elemental (Lightning/Medium)）
Elemental (Lightning/Large).MOD	OUTPUTNAME:大型闪电元素 （Elemental (Lightning/Large)）
Elemental (Lightning/Huge).MOD	OUTPUTNAME:超大型闪电元素 （Elemental (Lightning/Huge)）
Elemental (Lightning/Greater).MOD	OUTPUTNAME:菁英闪电元素 （Elemental (Lightning/Greater)）
Elemental (Lightning/Elder).MOD	OUTPUTNAME:闪电元素长老 （Elemental (Lightning/Elder)）
Elemental (Magma/Small).MOD	OUTPUTNAME:小型熔岩元素（Elemental (Magma/Small)）
Elemental (Magma/Medium).MOD	OUTPUTNAME:中型熔岩元素 （Elemental (Magma/Medium)）
Elemental (Magma/Large).MOD	OUTPUTNAME:大型熔岩元素 （Elemental (Magma/Large)）
Elemental (Magma/Huge).MOD	OUTPUTNAME:超大型熔岩元素 （Elemental (Magma/Huge)）
Elemental (Magma/Greater).MOD	OUTPUTNAME:菁英熔岩元素 （Elemental (Magma/Greater)）
Elemental (Magma/Elder).MOD	OUTPUTNAME:熔岩元素长老 （Elemental (Magma/Elder)）
Elemental (Mud/Small).MOD	OUTPUTNAME:小型泥元素（Elemental (Mud/Small)）
Elemental (Mud/Medium).MOD	OUTPUTNAME:中型泥元素 （Elemental (Mud/Medium)）
Elemental (Mud/Large).MOD	OUTPUTNAME:大型泥元素 （Elemental (Mud/Large)）
Elemental (Mud/Huge).MOD	OUTPUTNAME:超大型泥元素 （Elemental (Mud/Huge)）
Elemental (Mud/Greater).MOD	OUTPUTNAME:菁英泥元素 （Elemental (Mud/Greater)）
Elemental (Mud/Elder).MOD	OUTPUTNAME:泥元素长老 （Elemental (Mud/Elder)）
Faceless Stalker.MOD	OUTPUTNAME:无面潜伏者 （Faceless Stalker）
Fly (Giant).MOD	OUTPUTNAME:巨苍蝇 （Fly (Giant)）
Maggot (Giant).MOD	OUTPUTNAME:巨蛆 （Maggot (Giant)）
Forlarren.MOD	OUTPUTNAME:黯蚀妖 （Forlarren）
Frost Worm.MOD	OUTPUTNAME:霜虫 （Frost Worm）
Fungal Crawler.MOD	OUTPUTNAME:真菌爬行者 （Fungal Crawler）
Gar.MOD	OUTPUTNAME:雀鳝 （Gar）
Gar (Giant).MOD	OUTPUTNAME:巨雀鳝 （Gar (Giant)）
Giant (Marsh).MOD	OUTPUTNAME:沼泽巨人 （Giant (Marsh)）
Giant (Brineborn Marsh).MOD	OUTPUTNAME:咸水种沼泽巨人 （Giant (Brineborn Marsh)）
Giant (Rune).MOD	OUTPUTNAME:符文巨人 （Giant (Rune)）
Giant (Taiga).MOD	OUTPUTNAME:寒林巨人 （Giant (Taiga)）
Giant (Wood).MOD	OUTPUTNAME:木巨人 （Giant (Wood)）
Gloomwing.MOD	OUTPUTNAME:黯翼 （Gloomwing）
Golem (Adamantine).MOD	OUTPUTNAME:精金魔像 （Golem (Adamantine)）
Golem (Alchemical).MOD	OUTPUTNAME:炼金魔像 （Golem (Alchemical)）
Golem (Carrion).MOD	OUTPUTNAME:腐尸魔像 （Golem (Carrion)）
Golem (Clockwork).MOD	OUTPUTNAME:发条魔像 （Golem (Clockwork)）
Golem (Glass).MOD	OUTPUTNAME:玻璃魔像 （Golem (Glass)）
Golem (Stained Glass).MOD	OUTPUTNAME:染色玻璃魔像 （Golem (Stained Glass)）
Golem (Mithral).MOD	OUTPUTNAME:秘银魔像 （Golem (Mithral)）
Gray Render.MOD	OUTPUTNAME:灰袋兽 （Gray Render）
Gremlin (Jinkin).MOD	OUTPUTNAME:蹑影小魔怪 （Gremlin (Jinkin)）
Gremlin (Nuglub).MOD	OUTPUTNAME:暴虐小魔怪 （Gremlin (Nuglub)）
Gremlin (Pugwampi).MOD	OUTPUTNAME:厄运小魔怪 （Gremlin (Pugwampi)）
Gremlin (Vexgit).MOD	OUTPUTNAME:蠹虫小魔怪 （Gremlin (Vexgit)）
Grick.MOD	OUTPUTNAME:穴居攫怪 （Grick）
Grick (Jungle).MOD	OUTPUTNAME:丛林攫怪 （Grick (Jungle)）
Grig.MOD	OUTPUTNAME:格利精 （Grig）
Grindylow.MOD	OUTPUTNAME:海地精 （Grindylow）
Gryph.MOD	OUTPUTNAME:灰鹳 （Gryph）
Gug.MOD	OUTPUTNAME:古革巨人 （Gug）
Gug Savant.MOD	OUTPUTNAME:古革首脑（Gug Savant）
Hangman Tree.MOD	OUTPUTNAME:吊人樹 （Hangman Tree）
Hellcat.MOD	OUTPUTNAME:地狱猫 （Hellcat）
Herd Animal (Camel).MOD	OUTPUTNAME:骆驼 （Herd Animal (Camel)）
Herd Animal (Ram).MOD	OUTPUTNAME:公羊 （Herd Animal (Ram)）
Hippocampus.MOD	OUTPUTNAME:海马 （Hippocampus）
Hippocampus (Giant).MOD	OUTPUTNAME:巨海马 （Hippocampus (Giant)）
Hippocampus (Polar).MOD	OUTPUTNAME:极地海马 （Hippocampus (Polar)）
Hippogriff.MOD	OUTPUTNAME:鹫马 （Hippogriff）
Hippopotamus.MOD	OUTPUTNAME:河马 （Hippopotamus）
Hippopotamus (Behemoth).MOD	OUTPUTNAME:河马巨兽 （Hippopotamus (Behemoth)）
Hound of Tindalos.MOD	OUTPUTNAME:廷达洛斯之犬 （Hound of Tindalos）
Howler.MOD	OUTPUTNAME:嚎兽 （Howler）
Inevitable (Arbiter).MOD	OUTPUTNAME:仲裁者 （Inevitable (Arbiter)）
Inevitable (Kolyarut).MOD	OUTPUTNAME:协约者 （Inevitable (Kolyarut)）
Inevitable (Lhaksharut).MOD	OUTPUTNAME:巡守者 （Inevitable (Lhaksharut)）
Inevitable (Marut).MOD	OUTPUTNAME:猎杀者 （Inevitable (Marut)）
Inevitable (Zelekhut).MOD	OUTPUTNAME:追踪者 （Inevitable (Zelekhut)）
Jabberwock.MOD	OUTPUTNAME:炸脖龙 （Jabberwock）
Jabberwock (Lesser).MOD	OUTPUTNAME:次级炸脖龙 （Jabberwock (Lesser)）
Jellyfish (Death's Head).MOD	OUTPUTNAME:死神之颅水母 （Jellyfish (Death's Head)）
Jellyfish (Crimson).MOD	OUTPUTNAME:猩红水母 （Jellyfish (Crimson)）
Jellyfish (Giant).MOD	OUTPUTNAME:巨水母 （Jellyfish (Giant)）
Jellyfish (Sapphire).MOD	OUTPUTNAME:蓝宝石水母 （Jellyfish (Sapphire)）
Jellyfish (Vampire).MOD	OUTPUTNAME:吸血水母 （Jellyfish (Vampire)）
Jellyfish (Whaler).MOD	OUTPUTNAME:鲸水母 （Jellyfish (Whaler)）
Jellyfish Swarm.MOD	OUTPUTNAME:水母群 （Jellyfish Swarm）
Jyoti.MOD	OUTPUTNAME:乔帝怪 （Jyoti）
Kelpie.MOD	OUTPUTNAME:马形水怪 （Kelpie）
Korred.MOD	OUTPUTNAME:考芮精 （Korred）
Krenshar.MOD	OUTPUTNAME:骨面斑兽 （Krenshar）
Lamia Matriarch.MOD	OUTPUTNAME:拉米亚主母 （Lamia Matriarch）
Leng Spider.MOD	OUTPUTNAME:冷蛛 （Leng Spider）
Leprechaun.MOD	OUTPUTNAME:小矮妖 （Leprechaun）
Leucrotta.MOD	OUTPUTNAME:拟声尖牙兽 （Leucrotta）
Leucrotta (Crocotta).MOD	OUTPUTNAME:克罗克塔 （Leucrotta (Crocotta)）
Locathah.MOD	OUTPUTNAME:洛卡鱼人 （Locathah）
Lurker in Light.MOD	OUTPUTNAME:光明潜伏者 （Lurker in Light）
Magma Ooze.MOD	OUTPUTNAME:岩浆怪 （Magma Ooze）
Magma Ooze (Brimstone).MOD	OUTPUTNAME:硫磺岩浆怪 （Magma Ooze (Brimstone)）
Magma Ooze (Crystalline).MOD	OUTPUTNAME:结晶岩浆怪 （Magma Ooze (Crystalline)）
Magma Ooze (Poisonous).MOD	OUTPUTNAME:毒害岩浆怪 （Magma Ooze (Poisonous)）
Mandragora.MOD	OUTPUTNAME:曼陀罗草 （Mandragora）
Megafauna (Arsinoitherium).MOD	OUTPUTNAME:重脚兽 （Megafauna (Arsinoitherium)）
Megafauna (Gylptodon).MOD	OUTPUTNAME:雕齿兽 （Megafauna (Gylptodon)）
Megafauna (Megaloceros).MOD	OUTPUTNAME:大角鹿 （Megafauna (Megaloceros)）
Megafauna (Megatherium).MOD	OUTPUTNAME:大地獭 （Megafauna (Megatherium)）
Mercane.MOD	OUTPUTNAME:位面商族 （Mercane）
Merrow (Freshwater).MOD	OUTPUTNAME:食人水怪 （Merrow (Freshwater)）
Merrow (Saltwater).MOD	OUTPUTNAME:食人海怪 （Merrow (Saltwater)）
Mihstu.MOD	OUTPUTNAME:迷妖雾 （Mihstu）
Mongrelman.MOD	OUTPUTNAME:杂种人 （Mongrelman）
Moonflower.MOD	OUTPUTNAME:月光花 （Moonflower）
Mosquito (Giant).MOD	OUTPUTNAME:巨蚊 （Mosquito (Giant)）
Mosquito Swarm.MOD	OUTPUTNAME:蚊群 （Mosquito Swarm）
Mothman.MOD	OUTPUTNAME:天蛾人 （Mothman）
Mu Spore.MOD	OUTPUTNAME:穆之巨菌 （Mu Spore）
Necrophidius.MOD	OUTPUTNAME:骸骨蛇 （Necrophidius）
Neh-Thalggu.MOD	OUTPUTNAME:那-萨尔古 （Neh-Thalggu）
Nereid.MOD	OUTPUTNAME:海妖精 （Nereid）
Nightshade (Nightcrawler).MOD	OUTPUTNAME:暗夜蠕虫 （Nightshade (Nightcrawler)）
Nightshade (Nightwalker).MOD	OUTPUTNAME:暗夜行者 （Nightshade (Nightwalker)）
Nightshade (Nightwave).MOD	OUTPUTNAME:暗夜波涛 （Nightshade (Nightwave)）
Nightshade (Nightwing).MOD	OUTPUTNAME:暗夜之翼 （Nightshade (Nightwing)）
Pech.MOD	OUTPUTNAME:岩精 （Pech）
Peryton.MOD	OUTPUTNAME:佩利冬 （Peryton）
Petitioner (Human).MOD	OUTPUTNAME:祈并者 （Petitioner (Human)）
Phycomid.MOD	OUTPUTNAME:酸蚀蘑菇 （Phycomid）
Poltergeist.MOD	OUTPUTNAME:骚灵 （Poltergeist）
Primate (Baboon).MOD	OUTPUTNAME:狒狒 （Primate (Baboon)）
Primate (Monkey Swarm).MOD	OUTPUTNAME:猴群 （Primate (Monkey Swarm)）
Protean (Imentesh).MOD	OUTPUTNAME:幻蛇，埃门特西 （Protean (Imentesh)）
Protean (Keketar).MOD	OUTPUTNAME:幻蛇，科科塔尔 （Protean (Keketar)）
Protean (Naunet).MOD	OUTPUTNAME:幻蛇，纳乌奈特 （Protean (Naunet)）
Protean (Voidworm).MOD	OUTPUTNAME:幻蛇，虚空虫 （Protean (Voidworm)）
Qlippoth (Augnagar).MOD	OUTPUTNAME:古魔，蝠翼蛛魔 （Qlippoth (Augnagar)）
Qlippoth (Chernobue).MOD	OUTPUTNAME:古魔，触手眼魔 （Qlippoth (Chernobue)）
Qlippoth (Cythnigot).MOD	OUTPUTNAME:古魔，寄尸魔 （Qlippoth (Cythnigot)）
Qlippoth (Iathavos).MOD	OUTPUTNAME:古魔，灭世魔君 （Qlippoth (Iathavos)）
Qlippoth (Nyogoth).MOD	OUTPUTNAME:古魔，饥肠魔 （Qlippoth (Nyogoth)）
Qlippoth (Shoggti).MOD	OUTPUTNAME:古魔，鱿魔 （Qlippoth (Shoggti)）
Qlippoth (Thulgant).MOD	OUTPUTNAME:古魔，蝎尾蛛魔 （Qlippoth (Thulgant)）
Quickling.MOD	OUTPUTNAME:快可灵 （Quickling）
Quickwood.MOD	OUTPUTNAME:快木 （Quickwood）
Rast.MOD	OUTPUTNAME:炭渣怪 （Rast）
Ray (Manta).MOD	OUTPUTNAME:蝠鲼 （Ray (Manta)）
Ray (Stingray).MOD	OUTPUTNAME:魟鱼 （Ray (Stingray)）
Redcap.MOD	OUTPUTNAME:红帽子 （Redcap）
Reefclaw.MOD	OUTPUTNAME:礁爪怪 （Reefclaw）
Revenant.MOD	OUTPUTNAME:怨灵 （Revenant）
Sandman.MOD	OUTPUTNAME:沙男 （Sandman）
Sard.MOD	OUTPUTNAME:萨德树精 （Sard）
Scarecrow.MOD	OUTPUTNAME:稻草人 （Scarecrow）
Sceaduinar.MOD	OUTPUTNAME:锡兑怪 （Sceaduinar）
Scylla.MOD	OUTPUTNAME:斯库拉 （Scylla）
Serpentfolk.MOD	OUTPUTNAME:蛇人 （Serpentfolk）
Serpentfolk (Degenerate).MOD	OUTPUTNAME:蛇人 （Serpentfolk (Degenerate)）
Seugathi.MOD	OUTPUTNAME:双尾虫怪 （Seugathi）
Shantak.MOD	OUTPUTNAME:夏塔克鸟 （Shantak）
Shining Child.MOD	OUTPUTNAME:闪耀之子 （Shining Child）
Sinspawn (Wrathspawn).MOD	OUTPUTNAME:怒生怪 （Sinspawn (Wrathspawn)）
Sinspawn (Envyspawn).MOD	OUTPUTNAME:妒生怪 （Sinspawn (Envyspawn)）
Sinspawn (Gluttonspawn).MOD	OUTPUTNAME:饥生怪 （Sinspawn (Gluttonspawn)）
Sinspawn (Greedspawn).MOD	OUTPUTNAME:贪生怪 （Sinspawn (Greedspawn)）
Sinspawn (Lustspawn).MOD	OUTPUTNAME:欲生怪 （Sinspawn (Lustspawn)）
Sinspawn (Pridespawn).MOD	OUTPUTNAME:傲生怪 （Sinspawn (Pridespawn)）
Sinspawn (Slothspawn).MOD	OUTPUTNAME:懒生怪 （Sinspawn (Slothspawn)）
Siren.MOD	OUTPUTNAME:塞壬 （Siren）
Skulk.MOD	OUTPUTNAME:潜伏客 （Skulk）
Slime Mold.MOD	OUTPUTNAME:粘菌怪 （Slime Mold）
Slithering Tracker.MOD	OUTPUTNAME:滑行猎手 （Slithering Tracker）
Slurk.MOD	OUTPUTNAME:泥蛙 （Slurk）
Snake (Emperor Cobra).MOD	OUTPUTNAME:帝王眼镜蛇 （Snake (Emperor Cobra)）
Snake (Giant Anaconda).MOD	OUTPUTNAME:巨水蟒 （Snake (Giant Anaconda)）
Solifugid (Giant).MOD	OUTPUTNAME:巨避日蛛 （Solifugid (Giant)）
Solifugid (Albino Cave).MOD	OUTPUTNAME:白化岩穴避日蛛 （Solifugid (Albino Cave)）
Soul Eater.MOD	OUTPUTNAME:噬魂者 （Soul Eater）
Soulbound Doll.MOD	OUTPUTNAME:缚魂人形 （Soulbound Doll）
Spider (Giant Black Widow).MOD	OUTPUTNAME:巨黑寡妇 （Spider (Giant Black Widow)）
Spriggan.MOD	OUTPUTNAME:矮妖/斯普利坎 （Spriggan）
Tendriculos.MOD	OUTPUTNAME:触手魔藤 （Tendriculos）
Tenebrous Worm.MOD	OUTPUTNAME:晦虫 （Tenebrous Worm）
Tentamort.MOD	OUTPUTNAME:死亡缠体 （Tentamort）
Thoqqua.MOD	OUTPUTNAME:土焢虫 （Thoqqua）
Thrasfyr.MOD	OUTPUTNAME:熊蛇怪 （Thrasfyr）
Thunderbird.MOD	OUTPUTNAME:雷鸟 （Thunderbird）
Tick (Giant).MOD	OUTPUTNAME:巨扁虱 （Tick (Giant)）
Tick Swarm.MOD	OUTPUTNAME:扁虱群 （Tick Swarm）
Titan (Elysian).MOD	OUTPUTNAME:极乐提坦 （Titan (Elysian)）
Titan (Thanatotic).MOD	OUTPUTNAME:暴亡提坦 （Titan (Thanatotic)）
Toad (Giant).MOD	OUTPUTNAME:巨蟾蜍 （Toad (Giant)）
Toad (Glacier).MOD	OUTPUTNAME:冰河蟾蜍 （Toad (Glacier)）
Totenmaske.MOD	OUTPUTNAME:假面魔 （Totenmaske）
Triton.MOD	OUTPUTNAME:梭螺鱼人 （Triton）
Troll (Ice).MOD	OUTPUTNAME:冰巨魔 （Troll (Ice)）
Troll (Rock).MOD	OUTPUTNAME:石巨魔 （Troll (Rock)）
Turtle (Snapping).MOD	OUTPUTNAME:鹰嘴龟 （Turtle (Snapping)）
Turtle (Giant Snapping).MOD	OUTPUTNAME:巨鹰嘴龟 （Turtle (Giant Snapping)）
Twigjack.MOD	OUTPUTNAME:枝节妖 （Twigjack）
Urdefhan.MOD	OUTPUTNAME:透肌魔人 （Urdefhan）
Vampiric Mist.MOD	OUTPUTNAME:吸血雾魔 （Vampiric Mist）
Vemerak.MOD	OUTPUTNAME:地穴魔虫 （Vemerak）
Viper Vine.MOD	OUTPUTNAME:蝰蛇藤 （Viper Vine）
Water Orm.MOD	OUTPUTNAME:水涡龙 （Water Orm）
Wendigo.MOD	OUTPUTNAME:温迪戈雪魔 （Wendigo）
Whale.MOD	OUTPUTNAME:鲸鱼 （Whale）
Whale (Great White).MOD	OUTPUTNAME:大白鲸 （Whale (Great White)）
Winterwight.MOD	OUTPUTNAME:凛冬尸妖 （Winterwight）
Witchfire.MOD	OUTPUTNAME:巫焰 （Witchfire）
Witchwyrd.MOD	OUTPUTNAME:巫怪  （Witchwyrd）
Xacarba.MOD	OUTPUTNAME:三身魔蛇 （Xacarba）
Xtabay.MOD	OUTPUTNAME:鬼藤花 （Xtabay）
Yrthak.MOD	OUTPUTNAME:角翼魔兽 （Yrthak）
