Adaro.MOD	OUTPUTNAME:鲛人 （Adaro）
Disenchanter.MOD	OUTPUTNAME:祛魔怪 （Disenchanter）
Div (Aghash).MOD	OUTPUTNAME:邪眼妖 （Div (Aghash)）
Div (Akvan).MOD	OUTPUTNAME:崇至妖 （Div (Akvan)）
Div (Akvan Prince).MOD	OUTPUTNAME:妖灵绪论 （Div (Akvan Prince)）
Div (Doru).MOD	OUTPUTNAME:飞颅妖 （Div (Doru)）
Div (Ghawwas).MOD	OUTPUTNAME:鲉鳍妖 （Div (Ghawwas)）
Div (Pairaka).MOD	OUTPUTNAME:恶欲妖 （Div (Pairaka)）
Div (Sepid).MOD	OUTPUTNAME:墟言妖 （Div (Sepid)）
Div (Shira).MOD	OUTPUTNAME:狮妖 （Div (Shira)）
Dragon (Faerie).MOD	OUTPUTNAME:仙灵龙 （Dragon (Faerie)）
Dragon (Forest).MOD	OUTPUTNAME:帝龙种，地龙 （Dragon (Forest)）
Dragon (Sea).MOD	OUTPUTNAME:帝龙种，蛟龙 （Dragon (Sea)）
Dragon (Sky).MOD	OUTPUTNAME:帝龙种，天龙 （Dragon (Sky)）
Dragon (Sovereign).MOD	OUTPUTNAME:帝龙种，龙王 （Dragon (Sovereign)）
Dragon (Underworld).MOD	OUTPUTNAME:帝龙种，伏藏龙 （Dragon (Underworld)）
Dragonne.MOD	OUTPUTNAME:龙狮 （Dragonne）
Drake (Desert).MOD	OUTPUTNAME:沙漠龙兽 （Drake (Desert)）
Drake (Rift).MOD	OUTPUTNAME:裂隙龙兽 （Drake (Rift)）
Drake (River).MOD	OUTPUTNAME:河栖龙兽 （Drake (River)）
Dybbuk.MOD	OUTPUTNAME:附鬼 （Dybbuk）
Ecorche.MOD	OUTPUTNAME:筋肉魔人 （Ecorche）
Eidolon (Unfettered/Default).MOD	OUTPUTNAME:逍遥幻灵 （Eidolon (Unfettered/Default)）
Eidolon (Unfettered).MOD	OUTPUTNAME:逍遥幻灵 （Eidolon (Unfettered)）
Faun.MOD	OUTPUTNAME:费恩羊人 （Faun）
Festrog.MOD	OUTPUTNAME:犬化丧尸 （Festrog）
Fey Giant Toad.MOD	OUTPUTNAME:精化巨蟾蜍 （Fey Giant Toad）
Flail Snail.MOD	OUTPUTNAME:连枷蜗牛 （Flail Snail）
Flumph.MOD	OUTPUTNAME:坐垫怪 （Flumph）
Foo Dog.MOD	OUTPUTNAME:福狗 （Foo Dog）
Foo Lion.MOD	OUTPUTNAME:福狮 （Foo Lion）
Garden Ooze.MOD	OUTPUTNAME:庭院泥怪 （Garden Ooze）
Garuda.MOD	OUTPUTNAME:迦楼罗 （Garuda）
Ghorazagh.MOD	OUTPUTNAME:古拉扎格 （Ghorazagh）
Ghul.MOD	OUTPUTNAME:鬼巨灵 （Ghul）
Giant (Ash).MOD	OUTPUTNAME:灰烬巨人 （Giant (Ash)）
Giant (Cave).MOD	OUTPUTNAME:穴巨人 （Giant (Cave)）
Giant (Desert).MOD	OUTPUTNAME:沙漠巨人 （Giant (Desert)）
Giant (Jungle).MOD	OUTPUTNAME:丛林巨人 （Giant (Jungle)）
Girtablilu.MOD	OUTPUTNAME:半蝎人 （Girtablilu）
Globster.MOD	OUTPUTNAME:浮尸泥怪 （Globster）
Goblin Snake.MOD	OUTPUTNAME:地精蛇 （Goblin Snake）
Golem (Bone).MOD	OUTPUTNAME:骸骨魔像 （Golem (Bone)）
Golem (Brass).MOD	OUTPUTNAME:黄铜魔像 （Golem (Brass)）
Golem (Cannon).MOD	OUTPUTNAME:重炮魔像 （Golem (Cannon)）
Golem (Fossil).MOD	OUTPUTNAME:化石魔像 （Golem (Fossil)）
Gorynych.MOD	OUTPUTNAME:三头龙 （Gorynych）
Graveknight.MOD	OUTPUTNAME:死墓骑士 （Graveknight）
Graven Guardian.MOD	OUTPUTNAME:坟墓守卫 （Graven Guardian）
Gremlin (Fuath).MOD	OUTPUTNAME:憎恶小魔怪 （Gremlin (Fuath)）
Grodair.MOD	OUTPUTNAME:格罗代尔 （Grodair）
Grootslang.MOD	OUTPUTNAME:古罗茲兰古 （Grootslang）
Guecubu.MOD	OUTPUTNAME:大地尸骸 （Guecubu）
Hellwasp Swarm.MOD	OUTPUTNAME:黄泉蜂群 （Hellwasp Swarm）
Herd Animal (Antelope).MOD	OUTPUTNAME:羚羊 （Herd Animal (Antelope)）
Herd Animal (Elk).MOD	OUTPUTNAME:麋鹿 （Herd Animal (Elk)）
Hodag.MOD	OUTPUTNAME:霍达格 （Hodag）
Hollow Serpent.MOD	OUTPUTNAME:空心蟒 （Hollow Serpent）
Huecuva.MOD	OUTPUTNAME:休库瓦 （Huecuva）
Humbaba.MOD	OUTPUTNAME:胡姆巴巴 （Humbaba）
Hungry Fog.MOD	OUTPUTNAME:饥饿之雾 （Hungry Fog）
Iku-Turso.MOD	OUTPUTNAME:海怪 （Iku-Turso）
Jackalwere.MOD	OUTPUTNAME:化豺 （Jackalwere）
Jellyfish (Death's Head).MOD	OUTPUTNAME:死神之颅水母 （Jellyfish (Death's Head)）
Jellyfish (Sapphire).MOD	OUTPUTNAME:蓝宝石水母 （Jellyfish (Sapphire)）
Jorogumo.MOD	OUTPUTNAME:女郎蜘蛛 （Jorogumo）
Jubjub Bird.MOD	OUTPUTNAME:加布加布鸟 （Jubjub Bird）
Kamadan.MOD	OUTPUTNAME:卡玛丹 （Kamadan）
Kami (Jinushigami).MOD	OUTPUTNAME:社神，地主神 （Kami (Jinushigami)）
Kami (Elder Jinushigami).MOD	OUTPUTNAME:社神，地主神长老 （Kami (Elder Jinushigami)）
Kami (Kodama).MOD	OUTPUTNAME:社神，木灵神 （Kami (Kodama)）
Kami (Shikigami).MOD	OUTPUTNAME:社神，式神 （Kami (Shikigami)）
Kami (Toshigami).MOD	OUTPUTNAME:社神，岁神 （Kami (Toshigami)）
Kami (Zuishin).MOD	OUTPUTNAME:社神，随神 （Kami (Zuishin)）
Kappa.MOD	OUTPUTNAME:河童 （Kappa）
Kech.MOD	OUTPUTNAME:食人猿 （Kech）
Kirin.MOD	OUTPUTNAME:麒麟 （Kirin）
Kongamato.MOD	OUTPUTNAME:康加马托 （Kongamato）
Kyton (Augur).MOD	OUTPUTNAME:链魔，邪窥魔 （Kyton (Augur)）
Kyton (Eremite).MOD	OUTPUTNAME:链魔，邪隐魔 （Kyton (Eremite)）
Kyton (Interlocutor).MOD	OUTPUTNAME:链魔，邪验魔 （Kyton (Interlocutor)）
Lammasu.MOD	OUTPUTNAME:拉玛苏 （Lammasu）
Leshy (Fungus).MOD	OUTPUTNAME:真菌莱西 （Leshy (Fungus)）
Leshy (Gourd).MOD	OUTPUTNAME:葫芦莱西 （Leshy (Gourd)）
Leshy (Leaf).MOD	OUTPUTNAME:叶莱西 （Leshy (Leaf)）
Leshy (Seaweed).MOD	OUTPUTNAME:海草莱西 （Leshy (Seaweed)）
Linnorm (Cairn).MOD	OUTPUTNAME:石冢蛇龙 （Linnorm (Cairn)）
Linnorm (Fjord).MOD	OUTPUTNAME:峡湾蛇龙 （Linnorm (Fjord)）
Linnorm (Taiga).MOD	OUTPUTNAME:寒林蛇龙 （Linnorm (Taiga)）
Linnorm (Tor).MOD	OUTPUTNAME:岩山蛇龙 （Linnorm (Tor)）
Lizard (Giant Gecko).MOD	OUTPUTNAME:巨壁虎 （Lizard (Giant Gecko)）
Lizard (Giant Chameleon).MOD	OUTPUTNAME:巨变色龙 （Lizard (Giant Chameleon)）
Lukwata.MOD	OUTPUTNAME:路克瓦塔 （Lukwata）
Maftet.MOD	OUTPUTNAME:狮足鹰人 （Maftet）
Magmin.MOD	OUTPUTNAME:火童 （Magmin）
Manananggal.MOD	OUTPUTNAME:芒楠安格尔 （Manananggal）
Marsupial (Kangaroo).MOD	OUTPUTNAME:袋鼠 （Marsupial (Kangaroo)）
Marsupial (Thylacine).MOD	OUTPUTNAME:袋狼 （Marsupial (Thylacine)）
Megafauna (Archelon).MOD	OUTPUTNAME:古巨龟 （Megafauna (Archelon)）
Megafauna (Baluchitherium).MOD	OUTPUTNAME:俾路支兽 （Megafauna (Baluchitherium)）
Megafauna (Basilosaurus).MOD	OUTPUTNAME:龙王鲸 （Megafauna (Basilosaurus)）
Megafauna (Megalania).MOD	OUTPUTNAME:古巨蜥 （Megafauna (Megalania)）
Mobogo.MOD	OUTPUTNAME:莫波谷 （Mobogo）
Moon-Beast.MOD	OUTPUTNAME:月兽 （Moon-Beast）
Myceloid.MOD	OUTPUTNAME:蘑菇人 （Myceloid）
Naga (Lunar).MOD	OUTPUTNAME:月娜迦 （Naga (Lunar)）
Naga (Royal).MOD	OUTPUTNAME:帝王娜迦 （Naga (Royal)）
Naga (Water).MOD	OUTPUTNAME:水娜迦 （Naga (Water)）
Nephilim.MOD	OUTPUTNAME:涅法雷姆 （Nephilim）
Nixie.MOD	OUTPUTNAME:尼克精 （Nixie）
Norn.MOD	OUTPUTNAME:织命女 （Norn）
Nuckelavee.MOD	OUTPUTNAME:海人马 （Nuckelavee）
Nue.MOD	OUTPUTNAME:鵺 （Nue）
Oni (Fire Yai).MOD	OUTPUTNAME:火巨鬼 （Oni (Fire Yai)）
Oni (Ice Yai).MOD	OUTPUTNAME:冰巨鬼 （Oni (Ice Yai)）
Oni (Kuwa).MOD	OUTPUTNAME:骇鬼 （Oni (Kuwa)）
Oni (Spirit).MOD	OUTPUTNAME:恶鬼灵 （Oni (Spirit)）
Oni (Void Yai).MOD	OUTPUTNAME:虚巨鬼 （Oni (Void Yai)）
Oni (Water Yai).MOD	OUTPUTNAME:水巨鬼 （Oni (Water Yai)）
Owl (Great Horned).MOD	OUTPUTNAME:大角鸮 （Owl (Great Horned)）
Owl (Giant).MOD	OUTPUTNAME:巨枭 （Owl (Giant)）
Pale Stranger.MOD	OUTPUTNAME:苍陌客 （Pale Stranger）
Parasite (Rot Grub Swarm).MOD	OUTPUTNAME:腐尸虫群 （Parasite (Rot Grub Swarm)）
Parasite (Giant Rot Grub).MOD	OUTPUTNAME:巨腐尸虫 （Parasite (Giant Rot Grub)）
Peri.MOD	OUTPUTNAME:堕天女 （Peri）
Phantom Fungus.MOD	OUTPUTNAME:魅影蕈 （Phantom Fungus）
Plasma Ooze.MOD	OUTPUTNAME:电浆泥怪 （Plasma Ooze）
Popobala.MOD	OUTPUTNAME:独眼鹰怪 （Popobala）
Porcupine.MOD	OUTPUTNAME:豪猪 （Porcupine）
Porcupine (Giant).MOD	OUTPUTNAME:巨豪猪 （Porcupine (Giant)）
Pukwudgie.MOD	OUTPUTNAME:魒骻吉 （Pukwudgie）
Rakshasa (Dandasuka).MOD	OUTPUTNAME:罗刹，毒噬罗刹 （Rakshasa (Dandasuka)）
Rakshasa (Maharaja).MOD	OUTPUTNAME:罗刹，罗刹鬼王 （Rakshasa (Maharaja)）
Rakshasa (Marai).MOD	OUTPUTNAME:罗刹，妖蛇罗刹 （Rakshasa (Marai)）
Rakshasa (Raktavarna).MOD	OUTPUTNAME:罗刹，化物罗刹 （Rakshasa (Raktavarna)）
Rakshasa (Tataka).MOD	OUTPUTNAME:罗刹，暴掠罗刹 （Rakshasa (Tataka)）
Rusalka.MOD	OUTPUTNAME:水泽妖女 （Rusalka）
Sabosan.MOD	OUTPUTNAME:蝠翼人 （Sabosan）
Sagari.MOD	OUTPUTNAME:萨加里 （Sagari）
Sargassum Fiend.MOD	OUTPUTNAME:藻魔 （Sargassum Fiend）
Sasquatch.MOD	OUTPUTNAME:大足野人 （Sasquatch）
Scorpion (Deadfall).MOD	OUTPUTNAME:陷阱蝎 （Scorpion (Deadfall)）
Scorpion (Ghost).MOD	OUTPUTNAME:幽灵蝎 （Scorpion (Ghost)）
Sea Anemone (Giant).MOD	OUTPUTNAME:巨海葵 （Sea Anemone (Giant)）
Common anemone.MOD	OUTPUTNAME:普通海葵 （Common anemone）
Bluehair anemone.MOD	OUTPUTNAME:蓝发海葵 （Bluehair anemone）
Coffin anemone.MOD	OUTPUTNAME:棺材海葵 （Coffin anemone）
Darkforest anemone.MOD	OUTPUTNAME:黑森林海葵 （Darkforest anemone）
Siren's bed anemone.MOD	OUTPUTNAME:塞壬之床海葵 （Siren's bed anemone）
Deep tiger anemone.MOD	OUTPUTNAME:深海虎葵 （Deep tiger anemone）
Sea Bonze.MOD	OUTPUTNAME:海坊主 （Sea Bonze）
Sea Serpent (Deep).MOD	OUTPUTNAME:深海海蛇 （Sea Serpent (Deep)）
Shadow Mastiff.MOD	OUTPUTNAME:暗影獒犬 （Shadow Mastiff）
Shae.MOD	OUTPUTNAME:无拘影民 （Shae）
Shedu.MOD	OUTPUTNAME:舍度 （Shedu）
Shinigami.MOD	OUTPUTNAME:死神 （Shinigami）
Simurgh.MOD	OUTPUTNAME:西牟鸟 （Simurgh）
Siyokoy.MOD	OUTPUTNAME:鳗怪 （Siyokoy）
Skunk.MOD	OUTPUTNAME:臭鼬 （Skunk）
Skunk (Giant).MOD	OUTPUTNAME:巨臭鼬 （Skunk (Giant)）
Sleipnir.MOD	OUTPUTNAME:斯莱普尼斯 （Sleipnir）
Swarm (Snake).MOD	OUTPUTNAME:蛇群 （Swarm (Snake)）
Swarm (Venomous Snake).MOD	OUTPUTNAME:毒蛇群 （Swarm (Venomous Snake)）
Sphinx (Androsphinx).MOD	OUTPUTNAME:男面斯芬克斯 （Sphinx (Androsphinx)）
Sphinx (Criosphinx).MOD	OUTPUTNAME:羊面斯芬克斯 （Sphinx (Criosphinx)）
Sphinx (Hieracosphinx).MOD	OUTPUTNAME:鹰面斯芬克斯 （Sphinx (Hieracosphinx)）
Spider (Giant Crab).MOD	OUTPUTNAME:巨蟹蛛 （Spider (Giant Crab)）
Spider (Ogre).MOD	OUTPUTNAME:食人魔蛛 （Spider (Ogre)）
Spider Eater.MOD	OUTPUTNAME:食蛛兽 （Spider Eater）
Sprite.MOD	OUTPUTNAME:小妖精 （Sprite）
Stymphalidies.MOD	OUTPUTNAME:食人鸟 （Stymphalidies）
Suli.MOD	OUTPUTNAME:巨灵裔 （Suli）
Tanuki.MOD	OUTPUTNAME:狸猫人 （Tanuki）
Taotieh.MOD	OUTPUTNAME:饕餮 （Taotieh）
Tatzlwyrm.MOD	OUTPUTNAME:泰兹瑞亚龙 （Tatzlwyrm）
Terra-Cotta Soldier.MOD	OUTPUTNAME:兵马俑 （Terra-Cotta Soldier）
Thriae (Queen).MOD	OUTPUTNAME:特里埃蜂后 （Thriae (Queen)）
Thriae (Seer).MOD	OUTPUTNAME:特里埃预言者 （Thriae (Seer)）
Thriae (Soldier).MOD	OUTPUTNAME:特里埃兵蜂 （Thriae (Soldier)）
Titan (Hekatonkheires).MOD	OUTPUTNAME:百臂提坦 （Titan (Hekatonkheires)）
Tojanida.MOD	OUTPUTNAME:突蟹龟 （Tojanida）
Tophet.MOD	OUTPUTNAME:多飞特合金怪 （Tophet）
Troll (Jotund).MOD	OUTPUTNAME:约顿巨魔 （Troll (Jotund)）
Troll (Moss).MOD	OUTPUTNAME:苔巨魔 （Troll (Moss)）
Trollhound.MOD	OUTPUTNAME:巨魔犬 （Trollhound）
Tupilaq.MOD	OUTPUTNAME:骨偶 （Tupilaq）
Tzitzimitl.MOD	OUTPUTNAME:蚀日星髅 （Tzitzimitl）
Valkyrie.MOD	OUTPUTNAME:女武神 （Valkyrie）
Vodyanoi.MOD	OUTPUTNAME:河伯 （Vodyanoi）
Voonith.MOD	OUTPUTNAME:水栖魔蚺 （Voonith）
Vulture.MOD	OUTPUTNAME:秃鹫 （Vulture）
Vulture (Giant).MOD	OUTPUTNAME:巨秃鹫 （Vulture (Giant)）
Wolf-in-Sheep's-Clothing.MOD	OUTPUTNAME:披着羊皮的狼 （Wolf-in-Sheep's-Clothing）
Yithian.MOD	OUTPUTNAME:伊斯人 （Yithian）
Yuki-Onna.MOD	OUTPUTNAME:雪女 （Yuki-Onna）
Zoog.MOD	OUTPUTNAME:祖各 （Zoog）
Zuvembie.MOD	OUTPUTNAME:勥尸 （Zuvembie）
Familiar (Flying Squirrel).MOD	OUTPUTNAME:魔宠（鼯鼠） （Familiar (Flying Squirrel)）
Familiar (Fox).MOD	OUTPUTNAME:魔宠（狐狸） （Familiar (Fox)）
Familiar (Goat).MOD	OUTPUTNAME:魔宠（山羊） （Familiar (Goat)）
Familiar (Otter).MOD	OUTPUTNAME:魔宠（水獭） （Familiar (Otter)）
Familiar (Pig).MOD	OUTPUTNAME:魔宠（猪） （Familiar (Pig)）
Familiar (Raccoon).MOD	OUTPUTNAME:魔宠（浣熊） （Familiar (Raccoon)）
