Aboleth.MOD	OUTPUTNAME:底栖魔鱼 （Aboleth）
Barghest (Greater).MOD	OUTPUTNAME:犬魔 （Barghest (Greater)）
Basidirond.MOD	OUTPUTNAME:孢子花 （Basidirond）
Basilisk.MOD	OUTPUTNAME:石化蜥蜴 （Basilisk）
Bat (Dire).MOD	OUTPUTNAME:凶暴蝙蝠 （Bat (Dire)）
Bat Swarm.MOD	OUTPUTNAME:蝙蝠集群 （Bat Swarm）
Bear (Grizzly).MOD	OUTPUTNAME:灰熊 （Bear (Grizzly)）
Bear (Dire).MOD	OUTPUTNAME:凶暴熊 （Bear (Dire)）
Bebilith.MOD	OUTPUTNAME:狩魔蛛 （Bebilith）
Beetle (Fire).MOD	OUTPUTNAME:火甲虫 （Beetle (Fire)）
Beetle (Giant Stag).MOD	OUTPUTNAME:巨锹甲虫 （Beetle (Giant Stag)）
Behir.MOD	OUTPUTNAME:青足龙蛇 （Behir）
Black Pudding.MOD	OUTPUTNAME:黑布丁怪 （Black Pudding）
Boar.MOD	OUTPUTNAME:野猪 （Boar）
Boar (Dire).MOD	OUTPUTNAME:凶暴野猪 （Boar (Dire)）
Boggard.MOD	OUTPUTNAME:沼蜍人 （Boggard）
Bugbear.MOD	OUTPUTNAME:熊地精 （Bugbear）
Bulette.MOD	OUTPUTNAME:鲨蜥兽 （Bulette）
Cat (Cheetah).MOD	OUTPUTNAME:猎豹 （Cat (Cheetah)）
Cat (Leopard).MOD	OUTPUTNAME:美洲豹 （Cat (Leopard)）
Cave Fisher.MOD	OUTPUTNAME:穴钓蟹 （Cave Fisher）
Centaur.MOD	OUTPUTNAME:人马 （Centaur）
Centipede (House).MOD	OUTPUTNAME:家里蜈蚣 （Centipede (House)）
Centipede (Sewer).MOD	OUTPUTNAME:下水道蜈蚣 （Centipede (Sewer)）
Centipede (Giant).MOD	OUTPUTNAME:巨蜈蚣 （Centipede (Giant)）
Centipede (Hisser).MOD	OUTPUTNAME:嘶叫蜈蚣 （Centipede (Hisser)）
Centipede (Giant Whiptail).MOD	OUTPUTNAME:巨长尾蜈蚣 （Centipede (Giant Whiptail)）
Centipede (Great Forest).MOD	OUTPUTNAME:巨森林蜈蚣 （Centipede (Great Forest)）
Centipede (Titan).MOD	OUTPUTNAME:泰坦蜈蚣 （Centipede (Titan)）
Centipede Swarm.MOD	OUTPUTNAME:蜈蚣群 （Centipede Swarm）
Chimera.MOD	OUTPUTNAME:奇美拉 （Chimera）
Choker.MOD	OUTPUTNAME:锁喉怪 （Choker）
Chuul.MOD	OUTPUTNAME:甲伏怪 （Chuul）
Cloaker.MOD	OUTPUTNAME:蛰伏伪怪 （Cloaker）
Cockatrice.MOD	OUTPUTNAME:鸡蛇兽 （Cockatrice）
Couatl.MOD	OUTPUTNAME:羽蛇 （Couatl）
Crab (Giant).MOD	OUTPUTNAME:巨蟹 （Crab (Giant)）
Crab (Giant King).MOD	OUTPUTNAME:帝王蟹 （Crab (Giant King)）
Crab (Giant Coconut).MOD	OUTPUTNAME:椰子蟹 （Crab (Giant Coconut)）
Crab (Giant Rock).MOD	OUTPUTNAME:岩蟹 （Crab (Giant Rock)）
Crab (Giant Shark-Eating).MOD	OUTPUTNAME:食鲨蟹 （Crab (Giant Shark-Eating)）
Crab (Giant Reef).MOD	OUTPUTNAME:巨暗礁蟹 （Crab (Giant Reef)）
Crab (Giant Shipwrecker).MOD	OUTPUTNAME:斩舰蟹 （Crab (Giant Shipwrecker)）
Crab Swarm.MOD	OUTPUTNAME:蟹群 （Crab Swarm）
Crocodile.MOD	OUTPUTNAME:鳄鱼 （Crocodile）
Crocodile (Dire).MOD	OUTPUTNAME:凶暴鳄鱼 （Crocodile (Dire)）
Cyclops.MOD	OUTPUTNAME:独眼巨人 （Cyclops）
Dark Creeper.MOD	OUTPUTNAME:幽暗匍匐者 （Dark Creeper）
Dark Stalker.MOD	OUTPUTNAME:幽暗潜行者 （Dark Stalker）
Darkmantle.MOD	OUTPUTNAME:夜幕魔兽 （Darkmantle）
Demon (Babau).MOD	OUTPUTNAME:恶魔，巴布魔 （Demon (Babau)）
Demon (Balor).MOD	OUTPUTNAME:恶魔，巴洛炎魔 （Demon (Balor)）
Demon (Dretch).MOD	OUTPUTNAME:恶魔，怯魔 （Demon (Dretch)）
Demon (Glabrezu).MOD	OUTPUTNAME:恶魔，迷诱魔 （Demon (Glabrezu)）
Demon (Hezrou).MOD	OUTPUTNAME:恶魔，狂战魔 （Demon (Hezrou)）
Demon (Marilith).MOD	OUTPUTNAME:恶魔，六臂蛇魔 （Demon (Marilith)）
Demon (Nabasu).MOD	OUTPUTNAME:恶魔，食魂魔 （Demon (Nabasu)）
Demon (Nalfeshnee).MOD	OUTPUTNAME:恶魔，判魂魔 （Demon (Nalfeshnee)）
Demon (Quasit).MOD	OUTPUTNAME:恶魔，小恶魔 （Demon (Quasit)）
Demon (Shadow).MOD	OUTPUTNAME:恶魔，影魔 （Demon (Shadow)）
Demon (Succubus).MOD	OUTPUTNAME:恶魔，魅魔 （Demon (Succubus)）
Demon (Vrock).MOD	OUTPUTNAME:恶魔，鹫魔 （Demon (Vrock)）
Derro.MOD	OUTPUTNAME:德洛人 （Derro）
Devil (Barbed).MOD	OUTPUTNAME:魔鬼，尖刺魔 （Devil (Barbed)）
Devil (Bearded).MOD	OUTPUTNAME:魔鬼，倒钩魔 （Devil (Bearded)）
Devil (Bone).MOD	OUTPUTNAME:魔鬼，骨魔 （Devil (Bone)）
Devil (Erinyes).MOD	OUTPUTNAME:魔鬼，欲魔 （Devil (Erinyes)）
Devil (Horned).MOD	OUTPUTNAME:魔鬼，角魔 （Devil (Horned)）
Devil (Ice).MOD	OUTPUTNAME:魔鬼，冰魔 （Devil (Ice)）
Devil (Imp).MOD	OUTPUTNAME:魔鬼，小魔鬼 （Devil (Imp)）
Devil (Lemure).MOD	OUTPUTNAME:魔鬼，劣魔 （Devil (Lemure)）
Devil (Pit Fiend).MOD	OUTPUTNAME:魔鬼，深渊炼魔 （Devil (Pit Fiend)）
Devourer.MOD	OUTPUTNAME:囚魂魔 （Devourer）
Dinosaur (Ankylosaurus).MOD	OUTPUTNAME:甲龙 （Dinosaur (Ankylosaurus)）
Dinosaur (Brachiosaurus).MOD	OUTPUTNAME:腕龙 （Dinosaur (Brachiosaurus)）
Dinosaur (Deinonychus).MOD	OUTPUTNAME:恐爪龙 （Dinosaur (Deinonychus)）
Dinosaur (Elasmosaurus).MOD	OUTPUTNAME:薄片龙 （Dinosaur (Elasmosaurus)）
Dinosaur (Pteranodon).MOD	OUTPUTNAME:翼龙 （Dinosaur (Pteranodon)）
Dinosaur (Stegosaurus).MOD	OUTPUTNAME:剑龙 （Dinosaur (Stegosaurus)）
Dinosaur (Triceratops).MOD	OUTPUTNAME:三角龙 （Dinosaur (Triceratops)）
Dinosaur (Tyrannosaurus).MOD	OUTPUTNAME:暴龙 （Dinosaur (Tyrannosaurus)）
Dog.MOD	OUTPUTNAME:犬 （Dog）
Dog (Riding).MOD	OUTPUTNAME:骑乘用犬 （Dog (Riding)）
Dolphin.MOD	OUTPUTNAME:海豚 （Dolphin）
Dolphin (Orca).MOD	OUTPUTNAME:虎鲸 （Dolphin (Orca)）
Doppelganger.MOD	OUTPUTNAME:变形怪 （Doppelganger）
Dragon (Black).MOD	OUTPUTNAME:黑龙 （Dragon (Black)）
Dragon (Blue).MOD	OUTPUTNAME:蓝龙 （Dragon (Blue)）
Dragon (Green).MOD	OUTPUTNAME:绿龙 （Dragon (Green)）
Dragon (Red).MOD	OUTPUTNAME:红龙 （Dragon (Red)）
Dragon (White).MOD	OUTPUTNAME:白龙 （Dragon (White)）
Dragon (Brass).MOD	OUTPUTNAME:黄铜龙 （Dragon (Brass)）
Dragon (Bronze).MOD	OUTPUTNAME:青铜龙 （Dragon (Bronze)）
Dragon (Copper).MOD	OUTPUTNAME:赤铜龙 （Dragon (Copper)）
Dragon (Gold).MOD	OUTPUTNAME:金龙 （Dragon (Gold)）
Dragon (Silver).MOD	OUTPUTNAME:银龙 （Dragon (Silver)）
Dragon Turtle.MOD	OUTPUTNAME:龙龟 （Dragon Turtle）
Drider.MOD	OUTPUTNAME:蛛化精灵 （Drider）
Drow Noble.MOD	OUTPUTNAME:卓尔精灵 （Drow Noble）
Dryad.MOD	OUTPUTNAME:树精 （Dryad）
Eagle.MOD	OUTPUTNAME:鹰 （Eagle）
Eagle (Giant).MOD	OUTPUTNAME:巨鹰 （Eagle (Giant)）
Eel (Electric).MOD	OUTPUTNAME:电鳗 （Eel (Electric)）
Eel (Giant Moray).MOD	OUTPUTNAME:巨海鳗 （Eel (Giant Moray)）
Elemental (Air/Small).MOD	OUTPUTNAME:小型气元素（Elemental (Air/Small)）
Elemental (Air/Medium).MOD	OUTPUTNAME:中型气元素 （Elemental (Air/Medium)）
Elemental (Air/Large).MOD	OUTPUTNAME:大型气元素 （Elemental (Air/Large)）
Elemental (Air/Huge).MOD	OUTPUTNAME:超大型气元素 （Elemental (Air/Huge)）
Elemental (Air/Greater).MOD	OUTPUTNAME:菁英气元素 （Elemental (Air/Greater)）
Elemental (Air/Elder).MOD	OUTPUTNAME:气元素长老 （Elemental (Air/Elder)）
Elemental (Earth/Small).MOD	OUTPUTNAME:小型土元素（Elemental (Earth/Small)）
Elemental (Earth/Medium).MOD	OUTPUTNAME:中型土元素 （Elemental (Earth/Medium)）
Elemental (Earth/Large).MOD	OUTPUTNAME:大型土元素 （Elemental (Earth/Large)）
Elemental (Earth/Huge).MOD	OUTPUTNAME:超大型土元素 （Elemental (Earth/Huge)）
Elemental (Earth/Greater).MOD	OUTPUTNAME:菁英土元素 （Elemental (Earth/Greater)）
Elemental (Earth/Elder).MOD	OUTPUTNAME:土元素长老 （Elemental (Earth/Elder)）
Elemental (Fire/Small).MOD	OUTPUTNAME:小型火元素（Elemental (Fire/Small)）
Elemental (Fire/Medium).MOD	OUTPUTNAME:中型火元素 （Elemental (Fire/Medium)）
Elemental (Fire/Large).MOD	OUTPUTNAME:大型火元素 （Elemental (Fire/Large)）
Elemental (Fire/Huge).MOD	OUTPUTNAME:超大型火元素 （Elemental (Fire/Huge)）
Elemental (Fire/Greater).MOD	OUTPUTNAME:菁英火元素 （Elemental (Fire/Greater)）
Elemental (Fire/Elder).MOD	OUTPUTNAME:火元素长老 （Elemental (Fire/Elder)）
Elemental (Water/Small).MOD	OUTPUTNAME:小型水元素（Elemental (Water/Small)）
Elemental (Water/Medium).MOD	OUTPUTNAME:中型水元素 （Elemental (Water/Medium)）
Elemental (Water/Large).MOD	OUTPUTNAME:大型水元素 （Elemental (Water/Large)）
Elemental (Water/Huge).MOD	OUTPUTNAME:超大型水元素 （Elemental (Water/Huge)）
Elemental (Water/Greater).MOD	OUTPUTNAME:菁英水元素 （Elemental (Water/Greater)）
Elemental (Water/Elder).MOD	OUTPUTNAME:水元素长老 （Elemental (Water/Elder)）
Elephant.MOD	OUTPUTNAME:象 （Elephant）
Elephant (Mastodon).MOD	OUTPUTNAME:乳齿象 （Elephant (Mastodon)）
Ettercap.MOD	OUTPUTNAME:伊特怪 （Ettercap）
Ettin.MOD	OUTPUTNAME:双头巨人 （Ettin）
Flytrap (Giant).MOD	OUTPUTNAME:巨捕蝇草 （Flytrap (Giant)）
Frog (Giant).MOD	OUTPUTNAME:巨蛙 （Frog (Giant)）
Frog (Poison).MOD	OUTPUTNAME:毒蛙 （Frog (Poison)）
Froghemoth.MOD	OUTPUTNAME:沼喉怪 （Froghemoth）
Gargoyle.MOD	OUTPUTNAME:石像鬼 （Gargoyle）
Gargoyle (Kapoacinth).MOD	OUTPUTNAME:石像鬼 （Gargoyle (Kapoacinth)）
Gelatinous Cube.MOD	OUTPUTNAME:胶质怪 （Gelatinous Cube）
Genie (Djinni).MOD	OUTPUTNAME:风巨灵 （Genie (Djinni)）
Genie (Djinni/Noble).MOD	OUTPUTNAME:风巨灵贵族 （Genie (Djinni/Nobel)）
Genie (Efreeti).MOD	OUTPUTNAME:火巨灵 （Genie (Efreeti)）
Genie (Efreeti/Noble).MOD	OUTPUTNAME:火巨灵贵族 （Genie (Efreeti/Nobel)）
Genie (Janni).MOD	OUTPUTNAME:小巨灵 （Genie (Janni)）
Genie (Janni/Noble).MOD	OUTPUTNAME:小巨灵贵族 （Genie (Janni/Nobel)）
Genie (Marid).MOD	OUTPUTNAME:水巨灵 （Genie (Marid)）
Genie (Marid/Noble).MOD	OUTPUTNAME:水巨灵贵族 （Genie (Marid/Nobel)）
Genie (Shaitan).MOD	OUTPUTNAME:土巨灵 （Genie (Shaitan)）
Genie (Shaitan/Noble).MOD	OUTPUTNAME:土巨灵贵族 （Genie (Shaitan/Nobel)）
Ghoul.MOD	OUTPUTNAME:食尸鬼 （Ghoul）
Ghoul (Ghast).MOD	OUTPUTNAME:食尸鬼 （Ghoul (Ghast)）
Ghoul (Lacedon).MOD	OUTPUTNAME:食尸鬼 （Ghoul (Lacedon)）
Giant (Cloud).MOD	OUTPUTNAME:云巨人 （Giant (Cloud)）
Giant (Fire).MOD	OUTPUTNAME:火巨人 （Giant (Fire)）
Giant (Frost).MOD	OUTPUTNAME:霜巨人 （Giant (Frost)）
Giant (Hill).MOD	OUTPUTNAME:山丘巨人 （Giant (Hill)）
Giant (Stone).MOD	OUTPUTNAME:石巨人 （Giant (Stone)）
Giant (Storm).MOD	OUTPUTNAME:风暴巨人 （Giant (Storm)）
Gibbering Mouther.MOD	OUTPUTNAME:惧噬体 （Gibbering Mouther）
Girallon.MOD	OUTPUTNAME:四臂猩猩 （Girallon）
Gnoll.MOD	OUTPUTNAME:豺狼人 （Gnoll）
Goblin Dog.MOD	OUTPUTNAME:地精犬 （Goblin Dog）
Golem (Clay).MOD	OUTPUTNAME:粘土魔像 （Golem (Clay)）
Golem (Flesh).MOD	OUTPUTNAME:血肉魔像 （Golem (Flesh)）
Golem (Ice).MOD	OUTPUTNAME:冰魔像 （Golem (Ice)）
Golem (Iron).MOD	OUTPUTNAME:铁魔像 （Golem (Iron)）
Golem (Stone).MOD	OUTPUTNAME:石魔像 （Golem (Stone)）
Golem (Wood).MOD	OUTPUTNAME:木魔像 （Golem (Wood)）
Gorgon.MOD	OUTPUTNAME:铜牛 （Gorgon）
Gray Ooze.MOD	OUTPUTNAME:灰泥怪 （Gray Ooze）
Gray Ooze (Crystal Ooze).MOD	OUTPUTNAME:灰泥怪 （Gray Ooze (Crystal Ooze)）
Gray Ooze (Id Ooze).MOD	OUTPUTNAME:灰泥怪 （Gray Ooze (Id Ooze)）
Green Hag.MOD	OUTPUTNAME:绿鬼婆 （Green Hag）
Griffon.MOD	OUTPUTNAME:狮鹫 （Griffon）
Harpy.MOD	OUTPUTNAME:鹰身女妖 （Harpy）
Hell Hound.MOD	OUTPUTNAME:地狱犬 （Hell Hound）
Hell Hound (Nessian).MOD	OUTPUTNAME:奈瑟斯战犬 （Hell Hound (Nessian)）
Herd Animal (Aurochs).MOD	OUTPUTNAME:原牛 （Herd Animal (Aurochs)）
Herd Animal (Bison).MOD	OUTPUTNAME:野牛 （Herd Animal (Bison)）
Homunculus.MOD	OUTPUTNAME:人造人 （Homunculus）
Horse.MOD	OUTPUTNAME:马 （Horse）
Horse (Pony).MOD	OUTPUTNAME:矮种马 （Horse (Pony)）
Hydra.MOD	OUTPUTNAME:多头蛇 （Hydra）
Hydra (Cryohydra).MOD	OUTPUTNAME:多头寒蛇 （Hydra (Cryohydra)）
Hydra (Pyrohydra).MOD	OUTPUTNAME:多头炎蛇 （Hydra (Pyrohydra)）
Hyena.MOD	OUTPUTNAME:鬣狗 （Hyena）
Hyena (Dire).MOD	OUTPUTNAME:凶暴鬣狗 （Hyena (Dire)）
Intellect Devourer.MOD	OUTPUTNAME:心智吞噬者 （Intellect Devourer）
Invisible Stalker.MOD	OUTPUTNAME:隐形潜伏怪 （Invisible Stalker）
Iron Cobra.MOD	OUTPUTNAME:铁眼镜蛇 （Iron Cobra）
Iron Cobra (Adamantine Cobra).MOD.MOD	OUTPUTNAME:精金眼镜蛇 （Iron Cobra (Adamantine Cobra)）
Iron Cobra (Cold Iron Cobra).MOD.MOD	OUTPUTNAME:寒铁眼镜蛇 （Iron Cobra (Cold Iron Cobra)）
Iron Cobra (Darkwood Cobra).MOD.MOD	OUTPUTNAME:黑木眼镜蛇 （Iron Cobra (Darkwood Cobra)）
Iron Cobra (Mithral Cobra).MOD.MOD	OUTPUTNAME:秘银眼镜蛇 （Iron Cobra (Mithral Cobra)）
Kraken.MOD	OUTPUTNAME:克拉肯 （Kraken）
Kyton.MOD	OUTPUTNAME:链魔 （Kyton）
Lamia.MOD	OUTPUTNAME:拉米亚 （Lamia）
Leech (Giant).MOD	OUTPUTNAME:巨水蛭 （Leech (Giant)）
Leech Swarm.MOD	OUTPUTNAME:水蛭群 （Leech Swarm）
Linnorm (Crag).MOD	OUTPUTNAME:峭壁蛇龙 （Linnorm (Crag)）
Linnorm (Ice).MOD	OUTPUTNAME:冰雪蛇龙 （Linnorm (Ice)）
Linnorm (Tarn).MOD	OUTPUTNAME:天池蛇龙 （Linnorm (Tarn)）
Lion.MOD	OUTPUTNAME:獅子 （Lion）
Lion (Dire).MOD	OUTPUTNAME:凶暴獅 （Lion (Dire)）
Lizard (Monitor).MOD	OUTPUTNAME:王蜥 （Lizard (Monitor)）
Lizard (Giant Frilled).MOD	OUTPUTNAME:巨伞蜥 （Lizard (Giant Frilled)）
Lizardfolk.MOD	OUTPUTNAME:蜥蜴人 （Lizardfolk）
Manticore.MOD	OUTPUTNAME:蝎狮 （Manticore）
Mantis (Giant).MOD	OUTPUTNAME:巨螳螂 （Mantis (Giant)）
Medusa.MOD	OUTPUTNAME:蛇发女妖 （Medusa）
Mephit (Air).MOD	OUTPUTNAME:风魔蝠 （Mephit (Air)）
Mephit (Dust).MOD	OUTPUTNAME:灰魔蝠 （Mephit (Dust)）
Mephit (Earth).MOD	OUTPUTNAME:土魔蝠 （Mephit (Earth)）
Mephit (Fire).MOD	OUTPUTNAME:火魔蝠 （Mephit (Fire)）
Mephit (Ice).MOD	OUTPUTNAME:冰魔蝠 （Mephit (Ice)）
Mephit (Magma).MOD	OUTPUTNAME:熔岩魔蝠 （Mephit (Magma)）
Mephit (Ooze).MOD	OUTPUTNAME:泥魔蝠 （Mephit (Ooze)）
Mephit (Salt).MOD	OUTPUTNAME:盐魔蝠 （Mephit (Salt)）
Mephit (Steam).MOD	OUTPUTNAME:蒸汽魔蝠 （Mephit (Steam)）
Mephit (Water).MOD	OUTPUTNAME:水魔蝠 （Mephit (Water)）
Mimic.MOD	OUTPUTNAME:拟形怪 （Mimic）
Minotaur.MOD	OUTPUTNAME:牛头人 （Minotaur）
Mite.MOD	OUTPUTNAME:螨精 （Mite）
Mohrg.MOD	OUTPUTNAME:魔魂尸 （Mohrg）
Morlock.MOD	OUTPUTNAME:摩洛克 （Morlock）
Mummy.MOD	OUTPUTNAME:木乃伊 （Mummy）
Naga (Dark).MOD	OUTPUTNAME:黑暗娜迦 （Naga (Dark)）
Naga (Guardian).MOD	OUTPUTNAME:守护娜迦 （Naga (Guardian)）
Naga (Spirit).MOD	OUTPUTNAME:幽魂娜迦 （Naga (Spirit)）
Neothelid.MOD	OUTPUTNAME:夺心巨虫 （Neothelid）
Night Hag.MOD	OUTPUTNAME:老鬼婆 （Night Hag）
Nightmare.MOD	OUTPUTNAME:梦魇 （Nightmare）
Nightmare (Cauchemar).MOD	OUTPUTNAME:寇克马 （Nightmare (Cauchemar)）
Nymph.MOD	OUTPUTNAME:宁芙 （Nymph）
Ochre Jelly.MOD	OUTPUTNAME:赭冻怪 （Ochre Jelly）
Octopus.MOD	OUTPUTNAME:章鱼 （Octopus）
Octopus (Giant).MOD	OUTPUTNAME:巨章鱼 （Octopus (Giant)）
Ogre.MOD	OUTPUTNAME:食人魔 （Ogre）
Oni (Ogre Mage).MOD	OUTPUTNAME:恶鬼，食人魔法师 （Oni (Ogre Mage)）
Otyugh.MOD	OUTPUTNAME:食腐怪 （Otyugh）
Owlbear.MOD	OUTPUTNAME:枭熊 （Owlbear）
Pegasus.MOD	OUTPUTNAME:飞马 （Pegasus）
Phase Spider.MOD	OUTPUTNAME:相位蜘蛛 （Phase Spider）
Phoenix.MOD	OUTPUTNAME:凤凰 （Phoenix）
Pixie.MOD	OUTPUTNAME:皮克精 （Pixie）
Pseudodragon.MOD	OUTPUTNAME:伪龙 （Pseudodragon）
Purple Worm.MOD	OUTPUTNAME:紫虫 （Purple Worm）
Rakshasa.MOD	OUTPUTNAME:罗刹 （Rakshasa）
Rat (Dire).MOD	OUTPUTNAME:凶暴鼠 （Rat (Dire)）
Rat Swarm.MOD	OUTPUTNAME:鼠群 （Rat Swarm）
Remorhaz.MOD	OUTPUTNAME:百足魔虫 （Remorhaz）
Retriever.MOD	OUTPUTNAME:猎魔蛛 （Retriever）
Rhinoceros.MOD	OUTPUTNAME:犀牛 （Rhinoceros）
Rhinoceros (Woolly).MOD	OUTPUTNAME:披毛犀 （Rhinoceros (Woolly)）
Roc.MOD	OUTPUTNAME:大鹏 （Roc）
Roper.MOD	OUTPUTNAME:树绳怪 （Roper）
Rust Monster.MOD	OUTPUTNAME:锈蚀怪 （Rust Monster）
Sahuagin.MOD	OUTPUTNAME:沙华鱼人 （Sahuagin）
Salamander.MOD	OUTPUTNAME:火蜥蜴 （Salamander）
Satyr.MOD	OUTPUTNAME:萨特羊人 （Satyr）
Scorpion (Greensting).MOD	OUTPUTNAME:绿刺蝎 （Scorpion (Greensting)）
Scorpion (Ghost).MOD	OUTPUTNAME:幽灵蝎 （Scorpion (Ghost)）
Scorpion (Cave).MOD	OUTPUTNAME:岩穴蝎 （Scorpion (Cave)）
Scorpion (Giant).MOD	OUTPUTNAME:巨蝎 （Scorpion (Giant)）
Scorpion (Deadfall).MOD	OUTPUTNAME:陷阱蝎 （Scorpion (Deadfall)）
Scorpion (Giant Emperor).MOD	OUTPUTNAME:巨帝王蝎 （Scorpion (Giant Emperor)）
Scorpion (Black).MOD	OUTPUTNAME:黑蝎 （Scorpion (Black)）
Sea Hag.MOD	OUTPUTNAME:海鬼婆 （Sea Hag）
Sea Serpent.MOD	OUTPUTNAME:海蛇 （Sea Serpent）
Shadow.MOD	OUTPUTNAME:幽影 （Shadow）
Shadow (Greater).MOD	OUTPUTNAME:高等幽影 （Shadow (Greater)）
Shambling Mound.MOD	OUTPUTNAME:蔓生怪 （Shambling Mound）
Shark.MOD	OUTPUTNAME:鲨鱼 （Shark）
Shark (Dire).MOD	OUTPUTNAME:凶暴鲨 （Shark (Dire)）
Shocker Lizard.MOD	OUTPUTNAME:闪电蜥蜴 （Shocker Lizard）
Shoggoth.MOD	OUTPUTNAME:修格斯 （Shoggoth）
Skeleton (Human).MOD	OUTPUTNAME:骷髅 （Skeleton (Human)）
Skeletal Champion (Human).MOD	OUTPUTNAME:骷髅勇士 （Skeletal Champion (Human)）
Skum.MOD	OUTPUTNAME:鱼化人 （Skum）
Slug (Giant).MOD	OUTPUTNAME:巨蛞蝓 （Slug (Giant)）
Snake (Constrictor).MOD	OUTPUTNAME:大蟒 （Snake (Constrictor)）
Snake (Venomous).MOD	OUTPUTNAME:毒蛇 （Snake (Venomous)）
Spectre.MOD	OUTPUTNAME:幽灵 （Spectre）
Sphinx (Gynosphinx).MOD	OUTPUTNAME:女面斯芬克斯 （Sphinx (Gynosphinx)）
Spider (Scarlet).MOD	OUTPUTNAME:猩红蜘蛛 （Spider (Scarlet)）
Spider (Giant Crab).MOD	OUTPUTNAME:巨蟹蛛 （Spider (Giant Crab)）
Spider (Giant).MOD	OUTPUTNAME:巨蜘蛛 （Spider (Giant)）
Spider (Black Widow).MOD	OUTPUTNAME:巨黑寡妇 （Spider (Black Widow)）
Spider (Giant Tarantula).MOD	OUTPUTNAME:巨狼蛛 （Spider (Giant Tarantula)）
Spider (Goliath).MOD	OUTPUTNAME:巨人蛛 （Spider (Goliath)）
Spider Swarm.MOD	OUTPUTNAME:蜘蛛群 （Spider Swarm）
Squid.MOD	OUTPUTNAME:乌贼 （Squid）
Squid (Giant).MOD	OUTPUTNAME:巨乌贼 （Squid (Giant)）
Stirge.MOD	OUTPUTNAME:蚊蝠 （Stirge）
Tarrasque.MOD	OUTPUTNAME:泰拉斯奎兽 （Tarrasque）
Tiger.MOD	OUTPUTNAME:虎 （Tiger）
Tiger (Dire).MOD	OUTPUTNAME:凶暴虎 （Tiger (Dire)）
Treant.MOD	OUTPUTNAME:树人 （Treant）
Troglodyte.MOD	OUTPUTNAME:战蜥人 （Troglodyte）
Troll.MOD	OUTPUTNAME:巨魔 （Troll）
Troll (Scrag).MOD	OUTPUTNAME:水生巨魔 （Troll (Scrag)）
Unicorn.MOD	OUTPUTNAME:独角兽 （Unicorn）
Vampire Spawn.MOD	OUTPUTNAME:吸血鬼 （Vampire Spawn）
Vargouille.MOD	OUTPUTNAME:飞头蛮 （Vargouille）
Vegepygmy.MOD	OUTPUTNAME:孢子人 （Vegepygmy）
Violet Fungus.MOD	OUTPUTNAME:紫蕈 （Violet Fungus）
Wasp (Giant).MOD	OUTPUTNAME:巨黄蜂 （Wasp (Giant)）
Wasp Swarm.MOD	OUTPUTNAME:黄蜂群 （Wasp Swarm）
Wight.MOD	OUTPUTNAME:尸妖 （Wight）
Wight (Brute).MOD	OUTPUTNAME:强尸妖 （Wight (Brute)）
Wight (Cairn).MOD	OUTPUTNAME:古冢尸妖 （Wight (Cairn)）
