Bullet (Tracer).MOD	OUTPUTNAME:曳光彈 （Tracer Bullet）
Nine Lives Stealer.MOD	OUTPUTNAME:九命竊奪者 （Nine Lives Stealer）
Axe (Undercutting).MOD	OUTPUTNAME:深切斬斧 （Undercutting Axe）
Spirit Caller.MOD	OUTPUTNAME:喚魂者 （Spirit Caller）
Hammer (Dwarfbond).MOD	OUTPUTNAME:矮人投錘 （Dwarfbond Hammer）
Oathbow.MOD	OUTPUTNAME:誓仇弓 （Oathbow）
Sword of Life Stealing.MOD	OUTPUTNAME:竊命長劍 （Sword of Life Stealing）
Rapier of Battlefield Movement.MOD	OUTPUTNAME:戰地穿行細劍（Rapier of Battlefield Movement）
Cutthroat's Apprentice.MOD	OUTPUTNAME:兇徒助手 （Cutthroat's Apprentice）
Ghoul's Lament.MOD	OUTPUTNAME:屍鬼哀歌 （Ghoul's Lament）
Duelist's Comate.MOD	OUTPUTNAME:決鬥伴侶（Duelist's Comate）
Mace of Terror.MOD	OUTPUTNAME:懼怖重錘 （Mace of Terror）
Hellscourge.MOD	OUTPUTNAME:煉獄責罰 （Hellscourge）
Dragon's Doom.MOD	OUTPUTNAME:龍之災 （Dragon's Doom）
Life-Drinker.MOD	OUTPUTNAME:飲命者 （Life Drinker）
Valor's Minion.MOD	OUTPUTNAME:勇者侍從 （Valor's Minion）
Summoner's Sorrow.MOD	OUTPUTNAME:召喚者之傷 （Summoner's Sorrow）
Sylvan Scimitar.MOD	OUTPUTNAME:木生彎刀 （Sylvan Scimitar）
Spirit Blade.MOD	OUTPUTNAME:靈界之刃 （Spirit Blade）
Spear (Heartswood).MOD	OUTPUTNAME:心木長矛 （Heartswood Spear）
Rapier of Puncturing.MOD	OUTPUTNAME:穿刺細劍 （Rapier of Puncturing）
Sun Blade (Bastard).MOD	OUTPUTNAME:陽炎劍 （Sun Blade）
Sun Blade (Short).MOD	OUTPUTNAME:陽炎劍 （Sun Blade）
Blade of the Rising Sun.MOD	OUTPUTNAME:升陽切 （Blade of the Rising Sun）
Frost Brand.MOD	OUTPUTNAME:寒冰之烙 （Frost Brand）
Dwarven Thrower.MOD	OUTPUTNAME:矮人飛錘 （Dwarven Thrower）
Dagger (Bloodthirst).MOD	OUTPUTNAME:血飲匕首 （Bloodthrist Dagger）
Warbringer.MOD	OUTPUTNAME:戰爭使者 （Warbringer）
Luck Blade (1 Wish).MOD	OUTPUTNAME:吉兆刃 （Luck Blade, 1願望）
Guarding Blade.MOD	OUTPUTNAME:保衛之劍 （Guarding Blade）
Pistol of the Infinite Sky.MOD	OUTPUTNAME:蒼穹拳銃 （Pistol of the Infinite Sky）
Mace of Smiting.MOD	OUTPUTNAME:懲擊之錘 （Mace of Smiting）
Blade of the Sword-Saint.MOD	OUTPUTNAME:劍豪刃 （Blade of the Sword-Saint）
Scimitar of the Spellthief.MOD	OUTPUTNAME:盜法彎刀 （Scimitar of the Spellthief）
Spider's Fang.MOD	OUTPUTNAME:毒蛛牙 （Spider's Fang）
Demonsorrow curve blade.MOD	OUTPUTNAME:魔傷曲刃 （Demonsorrow curve blade）
Scythe (Void).MOD	OUTPUTNAME:虛空巨鐮 （Void Scythe）
Luck Blade (2 Wishes).MOD	OUTPUTNAME:吉兆刃 （Luck Blade, 2願望）
Holy Avenger.MOD	OUTPUTNAME:神聖復仇者 （Holy Avenger）
Bastard's Sting.MOD	OUTPUTNAME:惡棍之釘 （Bastard's Sting）
Luck Blade (3 Wishes).MOD	OUTPUTNAME:吉兆刃 （Luck Blade, 3願望）
