Mithral Shirt.MOD	OUTPUTNAME:秘銀衫 （Mithral Shirt）
Folding Plate.MOD	OUTPUTNAME:折疊鎧甲 （Folding Plate）
Breastplate of Vanishing.MOD	OUTPUTNAME:遁身胸甲 （Breastplate of Vanishing）
Armor Of Insults.MOD	OUTPUTNAME:罵陣護甲 （Armor Of Insults）
Dwarven Plate.MOD	OUTPUTNAME:矮人板甲 （Dwarven Plate）
Hero's Hauberk.MOD	OUTPUTNAME:英雄之鎖子甲（Hero's Hauberk）
Banded Mail of Luck.MOD	OUTPUTNAME:幸運護甲 （Banded Mail of Luck）
Living Steel Heavy Shield.MOD	OUTPUTNAME:活鋼重盾 （Living Steel Heavy Shield）
Darkwood Buckler.MOD	OUTPUTNAME:黑木圓盾 （Darkwood Buckler）
Darkwood Shield.MOD	OUTPUTNAME:黑木重盾 （Darkwood Shield）
Mithral Heavy Shield.MOD	OUTPUTNAME:秘銀重盾 （Mithral Heavy Shield）
Zombie Skin Shield.MOD	OUTPUTNAME:屍皮盾 （Zombie Skin Shield）
Caster's Shield.MOD	OUTPUTNAME:術者之盾 （Caster's Shield）
Burglar's Buckler.MOD	OUTPUTNAME:夜賊圓盾 （Burglar's Buckler）
Spined Shield.MOD	OUTPUTNAME:尖刺盾 （Spined Shield）
Dragonslayer's Shield.MOD	OUTPUTNAME:斬龍者之盾 （Dragonslayer's Shield）
Clawhand Shield.MOD	OUTPUTNAME:爪指盾（Clawhand Shield）
Collapsible Tower.MOD	OUTPUTNAME:延展之盾 （Collapsible Tower）
Lion's Shield.MOD	OUTPUTNAME:雄獅之盾 （Lion's Shield）
Caster's Shield (Greater).MOD	OUTPUTNAME:高等術者之盾 （Caster's Shield (Greater)）
Celestial Shield.MOD	OUTPUTNAME:天界重盾 （Celestial Shield）
Maelstrom Shield.MOD	OUTPUTNAME:大漩渦之盾 （Maelstrom Shield）
Catskin Leather.MOD	OUTPUTNAME:貓皮衣 （Catskin Leather）
Celestial Armor.MOD	OUTPUTNAME:天界裝甲 （Celestial Armor）
Buccaneer's Breastplate.MOD	OUTPUTNAME:海賊胸甲 （Buccaneer's Breastplate）
Plate Armor of the Deep.MOD	OUTPUTNAME:海淵板甲 （Plate Armor of the Deep）
Breastplate of Command.MOD	OUTPUTNAME:命令胸甲 （Breastplate of Command）
Forsaken Banded Mail.MOD	OUTPUTNAME:遺忘之甲 （Forsaken Banded Mail）
Mithral full plate of speed.MOD	OUTPUTNAME:迅捷秘銀甲 （Mithral full plate of speed）
Warden of the Woods.MOD	OUTPUTNAME:林木戒衛 （Warden of the Woods）
Scarab Breastplate.MOD	OUTPUTNAME:聖甲蟲護胸 （Scarab Breastplate）
Full Plate of The Corpse.MOD	OUTPUTNAME:活屍全身甲（Full Plate of The Corpse）
Giant Hide (Ogre).MOD	OUTPUTNAME:食人魔皮甲 （Giant Hide (Ogre)）
Hamatula Hide.MOD	OUTPUTNAME:哈瑪魔之皮 （Hamatula Hide）
Giant Hide (Hill).MOD	OUTPUTNAME:山丘巨人皮甲 （Giant Hide (Hill)）
Demon Armor.MOD	OUTPUTNAME:惡魔鎧甲 （Demon Armor）
Giant Hide (Stone).MOD	OUTPUTNAME:石巨人皮甲 （Giant Hide (Stone)）
Giant Hide (Fire).MOD	OUTPUTNAME:火巨人皮甲 （Giant Hide (Fire)）
Giant Hide (Frost).MOD	OUTPUTNAME:冰巨人皮甲 （Giant Hide (Frost)）
Giant Hide (Troll).MOD	OUTPUTNAME:巨魔皮甲 （Giant Hide (Troll)）
Mail of Malevolence.MOD	OUTPUTNAME:怨毒鏈甲 （Mail of Malevolence）
Giant Hide (Cloud).MOD	OUTPUTNAME:雲巨人皮甲 （Giant Hide (Cloud)）
Giant Hide (Storm).MOD	OUTPUTNAME:風暴巨人皮甲 （Giant Hide (Storm)）
Daystar Half-Plate.MOD	OUTPUTNAME:晨星鎧 （Daystar Half-Plate）
Invincible Armor.MOD	OUTPUTNAME:不敗戰甲 （Invincible Armor）
Prismatic Plate.MOD	OUTPUTNAME:虹彩板甲 （Prismatic Plate）
Volcanic Shield.MOD	OUTPUTNAME:火山之盾 （Volcanic Shield）
Tempest Shield.MOD	OUTPUTNAME:暴風之盾 （Tempest Shield）
Battlement Shield.MOD	OUTPUTNAME:城防巨盾 （Battlement Shield）
Winged Shield.MOD	OUTPUTNAME:飛翼盾 （Winged Shield）
Avalanche Shield.MOD	OUTPUTNAME:山崩之盾 （Avalanche Shield）
Fortress Shield.MOD	OUTPUTNAME:壁壘巨盾 （Fortress Shield）
Wyrmslayer's Shield.MOD	OUTPUTNAME:屠龍者之盾 （Wyrmslayer's Shield）
Spell Ward Tower Shield.MOD	OUTPUTNAME:御魔巨盾 （Spell Ward Tower Shield）
Quick Block Buckler.MOD	OUTPUTNAME:疾防圓盾 （Quick Block Buckler）
Belligerent Shield.MOD	OUTPUTNAME:鏖戰重盾 （Belligerent Shield）
Force Tower.MOD	OUTPUTNAME:力能之塔 （Force Tower）
Absorbing Shield.MOD	OUTPUTNAME:消物盾 （Absorbing Shield）
Elysian Shield.MOD	OUTPUTNAME:淨土巨盾 （Elysian Shield）
