Ring of Animal Friendship.MOD	OUTPUTNAME:動物之友戒指 （Ring of Animal Friendship）	DESC:.CLEAR	DESC:動物之友戒指基本上會隨製造者的意願畫有動物形的圖案。以一個命令，戒指可以影響動物如同施放了『魅惑動物』法術，使動物將穿戴者如摯友一般對待。
Ring of Blinking.MOD	OUTPUTNAME:閃現戒指 （Ring of Blinking）
Ring of Spell Storing (Minor).MOD	OUTPUTNAME:次等儲法戒指 （Ring of Spell Storing, minor）
Ring of Spell Storing.MOD	OUTPUTNAME:儲法戒指 （Ring of Spell Storing）
Ring of Spell Turning.MOD	OUTPUTNAME:法術反轉戒指 （Ring of Spell Turning）
Ring of Sustenance.MOD	OUTPUTNAME:維生戒指 （Ring of Sustenance）
Ring of Swimming (Improved).MOD	OUTPUTNAME:精通游泳戒指 （Ring of Swimming, Improved）
Ring of Swimming.MOD	OUTPUTNAME:游泳戒指 （Ring of Swimming）
Ring of Telekinesis.MOD	OUTPUTNAME:心靈遙控戒指 （Ring of Telekinesis）
Ring of the Ram.MOD	OUTPUTNAME:攻城錘戒指 （Ring of the Ram）
Ring of Three Wishes.MOD	OUTPUTNAME:三願戒指 （Ring of Three Wishes）
Ring of Water Walking.MOD	OUTPUTNAME:水上行走戒指 （Ring of Water Walking）
Ring of Wizardry I.MOD	OUTPUTNAME:一型巫術戒指 （Ring of Wizardry I） 
Ring of Wizardry II.MOD	OUTPUTNAME:二型巫術戒指 （Ring of Wizardry II） 
Ring of Wizardry III.MOD	OUTPUTNAME:三型巫術戒指 （Ring of Wizardry III） 
Ring of Wizardry IV.MOD	OUTPUTNAME:四型巫術戒指 （Ring of Wizardry IV） 
Ring of X-Ray Vision.MOD	OUTPUTNAME:X射線視覺戒指 （Ring of X-Ray Vision）
