Wand of Acid Splash.MOD	OUTPUTNAME:酸液飛濺魔杖（Wand of Acid Splash）
Wand of Detect Snares and Pits.MOD	OUTPUTNAME:偵測陷阱魔杖（Wand of Detect Snares and Pits）
Wand of Detect Undead.MOD	OUTPUTNAME:偵測死靈魔杖（Wand of Detect Undead）
Wand of Disguise Self.MOD	OUTPUTNAME:易容術魔杖（Wand of Disguise Self）
Wand of Divine Favor.MOD	OUTPUTNAME:神恩魔杖（Wand of Divine Favor）
Wand of Doom.MOD	OUTPUTNAME:喪志術魔杖（Wand of Doom）
Wand of Endure Elements.MOD	OUTPUTNAME:忍受環境魔杖（Wand of Endure Elements）
Wand of Enlarge Person.MOD	OUTPUTNAME:變巨術魔杖（Wand of Enlarge Person）
Wand of Entangle.MOD	OUTPUTNAME:糾纏術魔杖（Wand of Entangle）
Wand of Entropic Shield.MOD	OUTPUTNAME:熵光護盾魔杖（Wand of Entropic Shield）
Wand of Erase.MOD	OUTPUTNAME:抹消術魔杖（Wand of Erase）
Wand of Expeditious Retreat.MOD	OUTPUTNAME:腳底抹油魔杖（Wand of Expeditious Retreat）
Wand of Faerie Fire.MOD	OUTPUTNAME:妖火魔杖（Wand of Faerie Fire）
Wand of Feather Fall.MOD	OUTPUTNAME:羽落術魔杖（Wand of Feather Fall）
Wand of Floating Disk.MOD	OUTPUTNAME:浮碟術魔杖（Wand of Floating Disk）
Wand of Goodberry.MOD	OUTPUTNAME:神莓魔杖（Wand of Goodberry）
Wand of Grease.MOD	OUTPUTNAME:油膩術魔杖（Wand of Grease）
Wand of Hide from Animals.MOD	OUTPUTNAME:動物無視術魔杖（Wand of Hide from Animals）
Wand of Hide from Undead.MOD	OUTPUTNAME:亡靈無視術魔杖（Wand of Hide from Undead）
Wand of Hold Portal.MOD	OUTPUTNAME:封門術魔杖（Wand of Hold Portal）
Wand of Hypnotism.MOD	OUTPUTNAME:催眠術魔杖（Wand of Hypnotism）
Wand of Identify.MOD	OUTPUTNAME:鑒定術魔杖（Wand of Identify）
Wand of Inflict Light Wounds.MOD	OUTPUTNAME:造成輕傷魔杖（Wand of Inflict Light Wounds）
Wand of Jump.MOD	OUTPUTNAME:跳躍術魔杖（Wand of Jump）
Wand of Longstrider.MOD	OUTPUTNAME:大步奔行魔杖（Wand of Longstrider）
Wand of Mage Armor.MOD	OUTPUTNAME:法師護甲魔杖（Wand of Mage Armor）
Wand of Magic Fang.MOD	OUTPUTNAME:魔牙術魔杖（Wand of Magic Fang）
Wand of Magic Missile.MOD	OUTPUTNAME:魔法飛彈魔杖（Wand of Magic Missile）
Wand of Magic Stone.MOD	OUTPUTNAME:魔石術魔杖（Wand of Magic Stone）
Wand of Magic Weapon.MOD	OUTPUTNAME:魔化武器魔杖（Wand of Magic Weapon）
Wand of Mount.MOD	OUTPUTNAME:坐騎術魔杖（Wand of Mount）
Wand of Obscuring Mist.MOD	OUTPUTNAME:隱霧術魔杖（Wand of Obscuring Mist）
Wand of Pass without Trace.MOD	OUTPUTNAME:行蹤無跡魔杖（Wand of Pass without Trace）
Wand of Produce Flame.MOD	OUTPUTNAME:燃火術魔杖（Wand of Produce Flame）
Wand of Protection from Chaos.MOD	OUTPUTNAME:防護混亂魔杖（Wand of Protection from Chaos）
Wand of Protection from Evil.MOD	OUTPUTNAME:防護邪惡魔杖（Wand of Protection from Evil）
Wand of Protection from Good.MOD	OUTPUTNAME:防護善良魔杖（Wand of Protection from Good）
Wand of Protection from Law.MOD	OUTPUTNAME:防護秩序魔杖（Wand of Protection from Law）
Wand of Ray of Enfeeblement.MOD	OUTPUTNAME:衰弱射線魔杖（Wand of Ray of Enfeeblement）
Wand of Reduce Person.MOD	OUTPUTNAME:縮小術魔杖（Wand of Reduce Person）
Wand of Remove Fear.MOD	OUTPUTNAME:移除恐懼魔杖（Wand of Remove Fear）
Wand of Sanctuary.MOD	OUTPUTNAME:聖域術魔杖（Wand of Sanctuary）
Wand of Shield.MOD	OUTPUTNAME:護盾術魔杖（Wand of Shield）
Wand of Shield of Faith.MOD	OUTPUTNAME:虔誠護盾魔杖（Wand of Shield of Faith）
Wand of Shillelagh.MOD	OUTPUTNAME:橡棍術魔杖（Wand of Shillelagh）
Wand of Shocking Grasp.MOD	OUTPUTNAME:電爪魔杖（Wand of Shocking Grasp）
Wand of Silent Image.MOD	OUTPUTNAME:無聲幻影魔杖（Wand of Silent Image）
Wand of Sleep.MOD	OUTPUTNAME:睡眠術魔杖（Wand of Sleep）
Wand of Summon Monster I.MOD	OUTPUTNAME:召喚怪物 I魔杖（Wand of Summon Monster I）
Wand of Summon Nature's Ally I.MOD	OUTPUTNAME:召喚自然盟友 I魔杖（Wand of Summon Nature's Ally I）
Wand of True Strike.MOD	OUTPUTNAME:克敵機先魔杖（Wand of True Strike）
Wand of Unseen Servant.MOD	OUTPUTNAME:隱形僕役魔杖（Wand of Unseen Servant）
Wand of Ventriloquism.MOD	OUTPUTNAME:腹語術魔杖（Wand of Ventriloquism）
Wand of Acid Arrow.MOD	OUTPUTNAME:強酸箭魔杖（Wand of Acid Arrow）
Wand of Aid.MOD	OUTPUTNAME:援助術魔杖（Wand of Aid）
Wand of Align Weapon.MOD	OUTPUTNAME:陣營武器魔杖（Wand of Align Weapon）
Wand of Alter Self.MOD	OUTPUTNAME:變身術魔杖（Wand of Alter Self）
Wand of Animal Messenger.MOD	OUTPUTNAME:動物信使魔杖（Wand of Animal Messenger）
Wand of Animal Trance.MOD	OUTPUTNAME:迷惑動物魔杖（Wand of Animal Trance）
Wand of Arcane Lock.MOD	OUTPUTNAME:秘法鎖魔杖（Wand of Arcane Lock）
Wand of Augury.MOD	OUTPUTNAME:占卜術魔杖（Wand of Augury）
Wand of Barkskin.MOD	OUTPUTNAME:樹膚術魔杖（Wand of Barkskin）
Wand of Bear's Endurance.MOD	OUTPUTNAME:熊之堅韌魔杖（Wand of Bear's Endurance）
Wand of Blindness/Deafness.MOD	OUTPUTNAME:目盲/耳聾術魔杖（Wand of Blindness/Deafness）
Wand of Blur.MOD	OUTPUTNAME:朦朧術魔杖（Wand of Blur）
Wand of Bull's Strength.MOD	OUTPUTNAME:牛之力量魔杖（Wand of Bull's Strength）
Wand of Calm Emotions.MOD	OUTPUTNAME:安定心神魔杖（Wand of Calm Emotions）
Wand of Cat's Grace.MOD	OUTPUTNAME:貓之優雅魔杖（Wand of Cat's Grace）
Wand of Chill Metal.MOD	OUTPUTNAME:凍寒金屬魔杖（Wand of Chill Metal）
Wand of Command Undead.MOD	OUTPUTNAME:命令死靈魔杖（Wand of Command Undead）
Wand of Continual Flame.MOD	OUTPUTNAME:不滅明焰魔杖（Wand of Continual Flame）
Wand of Cure Moderate Wounds.MOD	OUTPUTNAME:治療中傷魔杖（Wand of Cure Moderate Wounds）
Wand of Darkness.MOD	OUTPUTNAME:黑暗術魔杖（Wand of Darkness）
Wand of Darkvision.MOD	OUTPUTNAME:黑暗視覺魔杖（Wand of Darkvision）
Wand of Daze Monster.MOD	OUTPUTNAME:怪物暈眩術魔杖（Wand of Daze Monster）
Wand of Death Knell.MOD	OUTPUTNAME:死亡喪鐘魔杖（Wand of Death Knell）
Wand of Delay Poison.MOD	OUTPUTNAME:減緩毒發魔杖（Wand of Delay Poison）
Wand of Detect Thoughts.MOD	OUTPUTNAME:偵測思想魔杖（Wand of Detect Thoughts）
Wand of Eagle's Splendor.MOD	OUTPUTNAME:鷹之威儀魔杖（Wand of Eagle's Splendor）
Wand of Enthrall.MOD	OUTPUTNAME:注目術魔杖（Wand of Enthrall）
Wand of False Life.MOD	OUTPUTNAME:虛假生命魔杖（Wand of False Life）
Wand of Find Traps.MOD	OUTPUTNAME:尋找陷阱魔杖（Wand of Find Traps）
Wand of Flame Blade.MOD	OUTPUTNAME:火焰刀魔杖（Wand of Flame Blade）
Wand of Flaming Sphere.MOD	OUTPUTNAME:熾焰法球魔杖（Wand of Flaming Sphere）
Wand of Fog Cloud.MOD	OUTPUTNAME:雲霧術魔杖（Wand of Fog Cloud）
Wand of Fox's Cunning.MOD	OUTPUTNAME:狐之狡黠魔杖（Wand of Fox's Cunning）
Wand of Gentle Repose.MOD	OUTPUTNAME:遺體防腐魔杖（Wand of Gentle Repose）
Wand of Ghoul Touch.MOD	OUTPUTNAME:食屍鬼之觸魔杖（Wand of Ghoul Touch）
Wand of Glitterdust.MOD	OUTPUTNAME:閃光塵魔杖（Wand of Glitterdust）
Wand of Heat Metal.MOD	OUTPUTNAME:灼熱金屬魔杖（Wand of Heat Metal）
Wand of Hideous Laughter.MOD	OUTPUTNAME:狂笑術魔杖（Wand of Hideous Laughter）
Wand of Hold Animal.MOD	OUTPUTNAME:動物定身術魔杖（Wand of Hold Animal）
Wand of Hold Person.MOD	OUTPUTNAME:人類定身術魔杖（Wand of Hold Person）
Wand of Hypnotic Pattern.MOD	OUTPUTNAME:催眠圖紋魔杖（Wand of Hypnotic Pattern）
Wand of Inflict Moderate Wounds.MOD	OUTPUTNAME:造成中度傷魔杖（Wand of Inflict Moderate Wounds）
Wand of Invisibility.MOD	OUTPUTNAME:隱形術魔杖（Wand of Invisibility）
Wand of Knock.MOD	OUTPUTNAME:敲擊術魔杖（Wand of Knock）
Wand of Levitate.MOD	OUTPUTNAME:浮空術魔杖（Wand of Levitate）
Wand of Locate Object.MOD	OUTPUTNAME:物品定位術魔杖（Wand of Locate Object）
Wand of Make Whole.MOD	OUTPUTNAME:完全修復術魔杖（Wand of Make Whole）
Wand of Minor Image.MOD	OUTPUTNAME:弱效幻影魔杖（Wand of Minor Image）
Wand of Mirror Image.MOD	OUTPUTNAME:鏡影術魔杖（Wand of Mirror Image）
Wand of Misdirection.MOD	OUTPUTNAME:誤導術魔杖（Wand of Misdirection）
Wand of Obscure Object.MOD	OUTPUTNAME:遮蔽物品魔杖（Wand of Obscure Object）
Wand of Owl's Wisdom.MOD	OUTPUTNAME:梟之睿智魔杖（Wand of Owl's Wisdom）
Wand of Protection from Arrows.MOD	OUTPUTNAME:防護箭矢魔杖（Wand of Protection from Arrows）
Wand of Pyrotechnics.MOD	OUTPUTNAME:煙火術魔杖（Wand of Pyrotechnics）
Wand of Rage.MOD	OUTPUTNAME:狂暴術魔杖（Wand of Rage）
Wand of Reduce Animal.MOD	OUTPUTNAME:動物縮小術魔杖（Wand of Reduce Animal）
Wand of Remove Paralysis.MOD	OUTPUTNAME:移除麻痺魔杖（Wand of Remove Paralysis）
Wand of Resist Energy.MOD	OUTPUTNAME:抵抗能量傷害魔杖（Wand of Resist Energy）
Wand of Restoration (Lesser).MOD	OUTPUTNAME:次等復原術魔杖（Wand of Restoration (Lesser)）
Wand of Rope Trick.MOD	OUTPUTNAME:魔繩術魔杖（Wand of Rope Trick）
Wand of Scare.MOD	OUTPUTNAME:恐嚇術魔杖（Wand of Scare）
Wand of Scorching Ray.MOD	OUTPUTNAME:灼熱射線魔杖（Wand of Scorching Ray）
Wand of See Invisibility.MOD	OUTPUTNAME:識破隱形魔杖（Wand of See Invisibility）
Wand of Shatter.MOD	OUTPUTNAME:粉碎音波魔杖（Wand of Shatter）
Wand of Shield Other.MOD	OUTPUTNAME:護衛他人魔杖（Wand of Shield Other）
Wand of Silence.MOD	OUTPUTNAME:沉默術魔杖（Wand of Silence）
Wand of Sound Burst.MOD	OUTPUTNAME:音鳴爆魔杖（Wand of Sound Burst）
Wand of Spectral Hand.MOD	OUTPUTNAME:幽靈手魔杖（Wand of Spectral Hand）
Wand of Spider Climb.MOD	OUTPUTNAME:蛛行術魔杖（Wand of Spider Climb）
Wand of Spiritual Weapon.MOD	OUTPUTNAME:靈能武器魔杖（Wand of Spiritual Weapon）
Wand of Status.MOD	OUTPUTNAME:關照術魔杖（Wand of Status）
Wand of Summon Monster II.MOD	OUTPUTNAME:召喚怪物 II魔杖（Wand of Summon Monster II）
Wand of Summon Nature's Ally II.MOD	OUTPUTNAME:召喚自然盟友 II魔杖（Wand of Summon Nature's Ally II）
Wand of Summon Swarm.MOD	OUTPUTNAME:飛蟲走獸魔杖（Wand of Summon Swarm）
Wand of Touch of Idiocy.MOD	OUTPUTNAME:愚者之觸魔杖（Wand of Touch of Idiocy）
Wand of Tree Shape.MOD	OUTPUTNAME:樹化術魔杖（Wand of Tree Shape）
Wand of Undetectable Alignment.MOD	OUTPUTNAME:隱匿陣營魔杖（Wand of Undetectable Alignment）
Wand of Warp Wood.MOD	OUTPUTNAME:曲木術魔杖（Wand of Warp Wood）
Wand of Web.MOD	OUTPUTNAME:蛛網術魔杖（Wand of Web）
Wand of Whispering Wind.MOD	OUTPUTNAME:風訊術魔杖（Wand of Whispering Wind）
Wand of Wood Shape.MOD	OUTPUTNAME:塑木術魔杖（Wand of Wood Shape）
Wand of Zone of Truth.MOD	OUTPUTNAME:誠實之域魔杖（Wand of Zone of Truth）
Wand of Animate Dead.MOD	OUTPUTNAME:操縱死屍魔杖（Wand of Animate Dead）
Wand of Arcane Sight.MOD	OUTPUTNAME:秘法視力魔杖（Wand of Arcane Sight）
Wand of Beast Shape I.MOD	OUTPUTNAME:野獸形態 I魔杖（Wand of Beast Shape I）
Wand of Bestow Curse.MOD	OUTPUTNAME:降咒魔杖（Wand of Bestow Curse）
Wand of Blink.MOD	OUTPUTNAME:閃現術魔杖（Wand of Blink）
Wand of Call Lightning.MOD	OUTPUTNAME:召雷術魔杖（Wand of Call Lightning）
Wand of Clairaudience/Clairvoyance.MOD	OUTPUTNAME:銳耳術/鷹眼術魔杖（Wand of Clairaudience/Clairvoyance）
Wand of Contagion.MOD	OUTPUTNAME:疫病術魔杖（Wand of Contagion）
Wand of Create Food and Water.MOD	OUTPUTNAME:造糧術魔杖（Wand of Create Food and Water）
Wand of Cure Serious Wounds.MOD	OUTPUTNAME:治療重傷魔杖（Wand of Cure Serious Wounds）
Wand of Daylight.MOD	OUTPUTNAME:晝明術魔杖（Wand of Daylight）
Wand of Deep Slumber.MOD	OUTPUTNAME:深度睡眠魔杖（Wand of Deep Slumber）
Wand of Deeper Darkness.MOD	OUTPUTNAME:深幽黑暗術魔杖（Wand of Deeper Darkness）
Wand of Dispel Magic.MOD	OUTPUTNAME:解除魔法魔杖（Wand of Dispel Magic）
Wand of Displacement.MOD	OUTPUTNAME:移位術魔杖（Wand of Displacement）
Wand of Dominate Animal.MOD	OUTPUTNAME:支配動物魔杖（Wand of Dominate Animal）
Wand of Explosive Runes.MOD	OUTPUTNAME:爆裂符文魔杖（Wand of Explosive Runes）
Wand of Fireball.MOD	OUTPUTNAME:火球術魔杖（Wand of Fireball）
Wand of Flame Arrow.MOD	OUTPUTNAME:火焰箭魔杖（Wand of Flame Arrow）
Wand of Fly.MOD	OUTPUTNAME:飛行術魔杖（Wand of Fly）
Wand of Gaseous Form.MOD	OUTPUTNAME:氣化形體魔杖（Wand of Gaseous Form）
Wand of Glibness.MOD	OUTPUTNAME:花言巧語魔杖（Wand of Glibness）
Wand of Good Hope.MOD	OUTPUTNAME:強大希望魔杖（Wand of Good Hope）
Wand of Haste.MOD	OUTPUTNAME:加速術魔杖（Wand of Haste）
Wand of Heal Mount.MOD	OUTPUTNAME:醫療坐騎魔杖（Wand of Heal Mount）
Wand of Heroism.MOD	OUTPUTNAME:英雄氣概魔杖（Wand of Heroism）
Wand of Inflict Serious Wounds.MOD	OUTPUTNAME:造成重傷魔杖（Wand of Inflict Serious Wounds）
Wand of Invisibility Purge.MOD	OUTPUTNAME:消除隱形魔杖（Wand of Invisibility Purge）
Wand of Invisibility Sphere.MOD	OUTPUTNAME:隱形法球魔杖（Wand of Invisibility Sphere）
Wand of Keen Edge.MOD	OUTPUTNAME:銳鋒術魔杖（Wand of Keen Edge）
Wand of Lightning Bolt.MOD	OUTPUTNAME:閃電束魔杖（Wand of Lightning Bolt）
Wand of Magic Circle Against Chaos.MOD	OUTPUTNAME:反混亂法陣魔杖（Wand of Magic Circle Against Chaos）
Wand of Magic Circle Against Evil.MOD	OUTPUTNAME:反邪惡法陣魔杖（Wand of Magic Circle Against Evil）
Wand of Magic Circle Against Good.MOD	OUTPUTNAME:反善良法陣魔杖（Wand of Magic Circle Against Good）
Wand of Magic Circle Against Law.MOD	OUTPUTNAME:反秩序法陣魔杖（Wand of Magic Circle Against Law）
Wand of Magic Fang (Greater).MOD	OUTPUTNAME:高等魔牙術魔杖（Wand of Magic Fang (Greater)）
Wand of Magic Vestment.MOD	OUTPUTNAME:魔化防具魔杖（Wand of Magic Vestment）
Wand of Magic Weapon (Greater).MOD	OUTPUTNAME:高等魔化武器魔杖（Wand of Magic Weapon (Greater)）
Wand of Major Image.MOD	OUTPUTNAME:強效幻影魔杖（Wand of Major Image）
Wand of Meld into Stone.MOD	OUTPUTNAME:融身入石魔杖（Wand of Meld into Stone）
Wand of Nondetection.MOD	OUTPUTNAME:迴避偵測魔杖（Wand of Nondetection）
Wand of Prayer.MOD	OUTPUTNAME:祈禱術魔杖（Wand of Prayer）
Wand of Protection from Energy.MOD	OUTPUTNAME:防護能量傷害魔杖（Wand of Protection from Energy）
Wand of Ray of Exhaustion.MOD	OUTPUTNAME:力竭射線魔杖（Wand of Ray of Exhaustion）
Wand of Remove Blindness/Deafness.MOD	OUTPUTNAME:移除目盲/耳聾魔杖（Wand of Remove Blindness/Deafness）
Wand of Remove Curse.MOD	OUTPUTNAME:移除詛咒魔杖（Wand of Remove Curse）
Wand of Remove Disease.MOD	OUTPUTNAME:移除疾病魔杖（Wand of Remove Disease）
Wand of Sculpt Sound.MOD	OUTPUTNAME:塑聲術魔杖（Wand of Sculpt Sound）
Wand of Searing Light.MOD	OUTPUTNAME:灼熱光輝魔杖（Wand of Searing Light）
Wand of Sleet Storm.MOD	OUTPUTNAME:雪風暴魔杖（Wand of Sleet Storm）
Wand of Slow.MOD	OUTPUTNAME:緩慢術魔杖（Wand of Slow）
Wand of Snare.MOD	OUTPUTNAME:圈套術魔杖（Wand of Snare）
Wand of Speak with Dead.MOD	OUTPUTNAME:死者交談魔杖（Wand of Speak with Dead）
Wand of Speak with Plants.MOD	OUTPUTNAME:植物交談魔杖（Wand of Speak with Plants）
Wand of Spike Growth.MOD	OUTPUTNAME:荊棘叢生魔杖（Wand of Spike Growth）
Wand of Stinking Cloud.MOD	OUTPUTNAME:臭雲術魔杖（Wand of Stinking Cloud）
Wand of Stone Shape.MOD	OUTPUTNAME:塑石術魔杖（Wand of Stone Shape）
Wand of Suggestion.MOD	OUTPUTNAME:暗示術魔杖（Wand of Suggestion）
Wand of Summon Monster III.MOD	OUTPUTNAME:召喚怪物 III魔杖（Wand of Summon Monster III）
Wand of Summon Nature's Ally III.MOD	OUTPUTNAME:召喚自然盟友 III魔杖（Wand of Summon Nature's Ally III）
Wand of Tongues.MOD	OUTPUTNAME:巧言術魔杖（Wand of Tongues）
Wand of Vampiric Touch.MOD	OUTPUTNAME:吸血鬼之觸魔杖（Wand of Vampiric Touch）
Wand of Water Breathing.MOD	OUTPUTNAME:水中呼吸魔杖（Wand of Water Breathing）
Wand of Water Walk.MOD	OUTPUTNAME:水面行走魔杖（Wand of Water Walk）
Wand of Wind Wall.MOD	OUTPUTNAME:風牆術魔杖（Wand of Wind Wall）
Wand of Air Walk.MOD	OUTPUTNAME:凌空而行魔杖（Wand of Air Walk）
Wand of Animal Growth.MOD	OUTPUTNAME:動物異變魔杖（Wand of Animal Growth）
Wand of Antiplant Shell.MOD	OUTPUTNAME:反植物護罩魔杖（Wand of Antiplant Shell）
Wand of Arcane Eye.MOD	OUTPUTNAME:秘法眼魔杖（Wand of Arcane Eye）
Wand of Beast Shape II.MOD	OUTPUTNAME:野獸形態 II魔杖（Wand of Beast Shape II）
Wand of Black Tentacles.MOD	OUTPUTNAME:黑觸手魔杖（Wand of Black Tentacles）
Wand of Break Enchantment.MOD	OUTPUTNAME:破除結界魔杖（Wand of Break Enchantment）
Wand of Chaos Hammer.MOD	OUTPUTNAME:混亂之錘魔杖（Wand of Chaos Hammer）
Wand of Charm Monster.MOD	OUTPUTNAME:魅惑怪物魔杖（Wand of Charm Monster）
Wand of Commune with Nature.MOD	OUTPUTNAME:問道自然魔杖（Wand of Commune with Nature）
Wand of Confusion.MOD	OUTPUTNAME:困惑術魔杖（Wand of Confusion）
Wand of Crushing Despair.MOD	OUTPUTNAME:極度絕望魔杖（Wand of Crushing Despair）
Wand of Cure Critical Wounds.MOD	OUTPUTNAME:治療致命傷魔杖（Wand of Cure Critical Wounds）
Wand of Death Ward.MOD	OUTPUTNAME:防死結界魔杖（Wand of Death Ward）
Wand of Detect Scrying.MOD	OUTPUTNAME:偵測探知魔杖（Wand of Detect Scrying）
Wand of Dimension Door.MOD	OUTPUTNAME:任意門魔杖（Wand of Dimension Door）
Wand of Dimensional Anchor.MOD	OUTPUTNAME:次元錨魔杖（Wand of Dimensional Anchor）
Wand of Discern Lies.MOD	OUTPUTNAME:辨識謊言魔杖（Wand of Discern Lies）
Wand of Dismissal.MOD	OUTPUTNAME:驅逐術魔杖（Wand of Dismissal）
Wand of Dispel Chaos.MOD	OUTPUTNAME:反制混亂魔杖（Wand of Dispel Chaos）
Wand of Divination.MOD	OUTPUTNAME:預言術魔杖（Wand of Divination）
Wand of Divine Power.MOD	OUTPUTNAME:神能魔杖（Wand of Divine Power）
Wand of Dominate Person.MOD	OUTPUTNAME:支配人類魔杖（Wand of Dominate Person）
Wand of Elemental Body I.MOD	OUTPUTNAME:元素形態 I魔杖（Wand of Elemental Body I）
Wand of Enervation.MOD	OUTPUTNAME:弱能術魔杖（Wand of Enervation）
Wand of Enlarge Person (Mass).MOD	OUTPUTNAME:群體變巨術魔杖（Wand of Enlarge Person (Mass)）
Wand of Fear.MOD	OUTPUTNAME:恐懼術魔杖（Wand of Fear）
Wand of Fire Shield.MOD	OUTPUTNAME:火焰護盾魔杖（Wand of Fire Shield）
Wand of Fire Trap.MOD	OUTPUTNAME:火焰陷阱魔杖（Wand of Fire Trap）
Wand of Flame Strike.MOD	OUTPUTNAME:焰擊術魔杖（Wand of Flame Strike）
Wand of Freedom of Movement.MOD	OUTPUTNAME:行動自如魔杖（Wand of Freedom of Movement）
Wand of Geas (Lesser).MOD	OUTPUTNAME:次等指使術魔杖（Wand of Geas (Lesser)）
Wand of Globe of Invulnerability (Lesser).MOD	OUTPUTNAME:次等法術無效結界魔杖（Wand of Globe of Invulnerability (Lesser)）
Wand of Hallucinatory Terrain.MOD	OUTPUTNAME:幻景魔杖（Wand of Hallucinatory Terrain）
Wand of Hold Monster.MOD	OUTPUTNAME:怪物定身術魔杖（Wand of Hold Monster）
Wand of Holy Smite.MOD	OUTPUTNAME:聖光擊魔杖（Wand of Holy Smite）
Wand of Holy Sword.MOD	OUTPUTNAME:聖劍術魔杖（Wand of Holy Sword）
Wand of Ice Storm.MOD	OUTPUTNAME:冰風暴魔杖（Wand of Ice Storm）
Wand of Illusory Wall.MOD	OUTPUTNAME:幻牆術魔杖（Wand of Illusory Wall）
Wand of Imbue with Spell Ability.MOD	OUTPUTNAME:法術灌輸魔杖（Wand of Imbue with Spell Ability）
