Scroll (Acid Splash).MOD	OUTPUTNAME:酸液飛濺卷軸（Scroll (Acid Splash)）
Scroll (True Strike).MOD	OUTPUTNAME:克敵機先卷軸（Scroll (True Strike)）
Scroll (Unseen Servant).MOD	OUTPUTNAME:隱形僕役卷軸（Scroll (Unseen Servant)）
Scroll (Ventriloquism).MOD	OUTPUTNAME:腹語術卷軸（Scroll (Ventriloquism)）
Scroll (Acid Arrow).MOD	OUTPUTNAME:強酸箭卷軸（Scroll (Acid Arrow)）
Scroll (Alter Self).MOD	OUTPUTNAME:變身術卷軸（Scroll (Alter Self)）
Scroll (Arcane Lock).MOD	OUTPUTNAME:秘法鎖卷軸（Scroll (Arcane Lock)）
Scroll (Bear's Endurance/Arcane).MOD	OUTPUTNAME:熊之堅韌卷軸（Scroll (Bear's Endurance/Arcane)）
Scroll (Blindness/Deafness/Arcane).MOD	OUTPUTNAME:目盲/耳聾術卷軸（Scroll (Blindness/Deafness/Arcane)）
Scroll (Blur).MOD	OUTPUTNAME:朦朧術卷軸（Scroll (Blur)）
Scroll (Bull's Strength/Arcane).MOD	OUTPUTNAME:牛之力量卷軸（Scroll (Bull's Strength/Arcane)）
Scroll (Cat's Grace/Arcane).MOD	OUTPUTNAME:貓之優雅卷軸（Scroll (Cat's Grace/Arcane)）
Scroll (Command Undead).MOD	OUTPUTNAME:命令死靈卷軸（Scroll (Command Undead)）
Scroll (Continual Flame/Arcane).MOD	OUTPUTNAME:不滅明焰卷軸（Scroll (Continual Flame/Arcane)）
Scroll (Darkness/Arcane).MOD	OUTPUTNAME:黑暗術卷軸（Scroll (Darkness/Arcane)）
Scroll (Darkvision).MOD	OUTPUTNAME:黑暗視覺卷軸（Scroll (Darkvision)）
Scroll (Daze Monster).MOD	OUTPUTNAME:怪物暈眩術卷軸（Scroll (Daze Monster)）
Scroll (Detect Thoughts).MOD	OUTPUTNAME:偵測思想卷軸（Scroll (Detect Thoughts)）
Scroll (Eagle's Splendor/Arcane).MOD	OUTPUTNAME:鷹之威儀卷軸（Scroll (Eagle's Splendor/Arcane)）
Scroll (False Life).MOD	OUTPUTNAME:虛假生命卷軸（Scroll (False Life)）
Scroll (Flaming Sphere).MOD	OUTPUTNAME:熾焰法球卷軸（Scroll (Flaming Sphere)）
Scroll (Fog Cloud).MOD	OUTPUTNAME:雲霧術卷軸（Scroll (Fog Cloud)）
Scroll (Fox's Cunning/Arcane).MOD	OUTPUTNAME:狐之狡黠卷軸（Scroll (Fox's Cunning/Arcane)）
Scroll (Ghoul Touch).MOD	OUTPUTNAME:食屍鬼之觸卷軸（Scroll (Ghoul Touch)）
Scroll (Glitterdust).MOD	OUTPUTNAME:閃光塵卷軸（Scroll (Glitterdust)）
Scroll (Hideous Laughter).MOD	OUTPUTNAME:狂笑術卷軸（Scroll (Hideous Laughter)）
Scroll (Hypnotic Pattern).MOD	OUTPUTNAME:催眠圖紋卷軸（Scroll (Hypnotic Pattern)）
Scroll (Invisibility).MOD	OUTPUTNAME:隱形術卷軸（Scroll (Invisibility)）
Scroll (Knock).MOD	OUTPUTNAME:敲擊術卷軸（Scroll (Knock)）
Scroll (Levitate).MOD	OUTPUTNAME:浮空術卷軸（Scroll (Levitate)）
Scroll (Locate Object/Arcane).MOD	OUTPUTNAME:物品定位術卷軸（Scroll (Locate Object/Arcane)）
Scroll (Make Whole/Arcane).MOD	OUTPUTNAME:完全修復術卷軸（Scroll (Make Whole/Arcane)）
Scroll (Minor Image).MOD	OUTPUTNAME:弱效幻影卷軸（Scroll (Minor Image)）
Scroll (Mirror Image).MOD	OUTPUTNAME:鏡影術卷軸（Scroll (Mirror Image)）
Scroll (Misdirection).MOD	OUTPUTNAME:誤導術卷軸（Scroll (Misdirection)）
Scroll (Obscure Object/Arcane).MOD	OUTPUTNAME:遮蔽物品卷軸（Scroll (Obscure Object/Arcane)）
Scroll (Owl's Wisdom/Arcane).MOD	OUTPUTNAME:梟之睿智卷軸（Scroll (Owl's Wisdom/Arcane)）
Scroll (Protection from Arrows).MOD	OUTPUTNAME:防護箭矢卷軸（Scroll (Protection from Arrows)）
Scroll (Pyrotechnics).MOD	OUTPUTNAME:煙火術卷軸（Scroll (Pyrotechnics)）
Scroll (Resist Energy/Arcane).MOD	OUTPUTNAME:抵抗能量傷害卷軸（Scroll (Resist Energy/Arcane)）
Scroll (Rope Trick).MOD	OUTPUTNAME:魔繩術卷軸（Scroll (Rope Trick)）
Scroll (Scare).MOD	OUTPUTNAME:恐嚇術卷軸（Scroll (Scare)）
Scroll (Scorching Ray).MOD	OUTPUTNAME:灼熱射線卷軸（Scroll (Scorching Ray)）
Scroll (See Invisibility).MOD	OUTPUTNAME:識破隱形卷軸（Scroll (See Invisibility)）
Scroll (Shatter/Arcane).MOD	OUTPUTNAME:粉碎音波卷軸（Scroll (Shatter/Arcane)）
Scroll (Spectral Hand).MOD	OUTPUTNAME:幽靈手卷軸（Scroll (Spectral Hand)）
Scroll (Spider Climb).MOD	OUTPUTNAME:蛛行術卷軸（Scroll (Spider Climb)）
Scroll (Summon Monster II/Arcane).MOD	OUTPUTNAME:召喚怪物 II卷軸（Scroll (Summon Monster II/Arcane)）
Scroll (Summon Swarm).MOD	OUTPUTNAME:飛蟲走獸卷軸（Scroll (Summon Swarm)）
Scroll (Touch of Idiocy).MOD	OUTPUTNAME:愚者之觸卷軸（Scroll (Touch of Idiocy)）
Scroll (Web).MOD	OUTPUTNAME:蛛網術卷軸（Scroll (Web)）
Scroll (Whispering Wind).MOD	OUTPUTNAME:風訊術卷軸（Scroll (Whispering Wind)）
Scroll (Arcane Sight).MOD	OUTPUTNAME:秘法視力卷軸（Scroll (Arcane Sight)）
Scroll (Beast Shape I).MOD	OUTPUTNAME:野獸形態 I卷軸（Scroll (Beast Shape I)）
Scroll (Blink).MOD	OUTPUTNAME:閃現術卷軸（Scroll (Blink)）
Scroll (Clairaudience/Clairvoyance).MOD	OUTPUTNAME:銳耳術/鷹眼術卷軸（Scroll (Clairaudience/Clairvoyance)）
Scroll (Daylight/Arcane).MOD	OUTPUTNAME:晝明術卷軸（Scroll (Daylight/Arcane)）
Scroll (Deep Slumber).MOD	OUTPUTNAME:深度睡眠卷軸（Scroll (Deep Slumber)）
Scroll (Dispel Magic/Arcane).MOD	OUTPUTNAME:解除魔法卷軸（Scroll (Dispel Magic/Arcane)）
Scroll (Displacement).MOD	OUTPUTNAME:移位術卷軸（Scroll (Displacement)）
Scroll (Explosive Runes).MOD	OUTPUTNAME:爆裂符文卷軸（Scroll (Explosive Runes)）
Scroll (Fireball).MOD	OUTPUTNAME:火球術卷軸（Scroll (Fireball)）
Scroll (Flame Arrow).MOD	OUTPUTNAME:火焰箭卷軸（Scroll (Flame Arrow)）
Scroll (Fly).MOD	OUTPUTNAME:飛行術卷軸（Scroll (Fly)）
Scroll (Gaseous Form).MOD	OUTPUTNAME:氣化形體卷軸（Scroll (Gaseous Form)）
Scroll (Gentle Repose/Arcane).MOD	OUTPUTNAME:遺體防腐卷軸（Scroll (Gentle Repose/Arcane)）
Scroll (Haste).MOD	OUTPUTNAME:加速術卷軸（Scroll (Haste)）
Scroll (Heroism).MOD	OUTPUTNAME:英雄氣概卷軸（Scroll (Heroism)）
Scroll (Hold Person/Arcane).MOD	OUTPUTNAME:人類定身術卷軸（Scroll (Hold Person/Arcane)）
Scroll (Invisibility Sphere).MOD	OUTPUTNAME:隱形法球卷軸（Scroll (Invisibility Sphere)）
Scroll (Keen Edge).MOD	OUTPUTNAME:銳鋒術卷軸（Scroll (Keen Edge)）
Scroll (Lightning Bolt).MOD	OUTPUTNAME:閃電束卷軸（Scroll (Lightning Bolt)）
Scroll (Magic Circle Against Chaos/Arcane).MOD	OUTPUTNAME:反混亂法陣卷軸（Scroll (Magic Circle Against Chaos/Arcane)）
Scroll (Magic Circle Against Evil/Arcane).MOD	OUTPUTNAME:反邪惡法陣卷軸（Scroll (Magic Circle Against Evil/Arcane)）
Scroll (Magic Circle Against Good/Arcane).MOD	OUTPUTNAME:反善良法陣卷軸（Scroll (Magic Circle Against Good/Arcane)）
Scroll (Magic Circle Against Law/Arcane).MOD	OUTPUTNAME:反秩序法陣卷軸（Scroll (Magic Circle Against Law/Arcane)）
Scroll (Magic Weapon (Greater)/Arcane).MOD	OUTPUTNAME:高等魔化武器卷軸（Scroll (Magic Weapon (Greater)/Arcane)）
Scroll (Major Image).MOD	OUTPUTNAME:強效幻影卷軸（Scroll (Major Image)）
Scroll (Nondetection).MOD	OUTPUTNAME:迴避偵測卷軸（Scroll (Nondetection)）
Scroll (Protection from Energy/Arcane).MOD	OUTPUTNAME:防護能量傷害卷軸（Scroll (Protection from Energy/Arcane)）
Scroll (Rage).MOD	OUTPUTNAME:狂暴術卷軸（Scroll (Rage)）
Scroll (Ray of Exhaustion).MOD	OUTPUTNAME:力竭射線卷軸（Scroll (Ray of Exhaustion)）
Scroll (Shrink Item).MOD	OUTPUTNAME:縮物術卷軸（Scroll (Shrink Item)）
Scroll (Sleet Storm).MOD	OUTPUTNAME:雪風暴卷軸（Scroll (Sleet Storm)）
Scroll (Slow).MOD	OUTPUTNAME:緩慢術卷軸（Scroll (Slow)）
Scroll (Stinking Cloud).MOD	OUTPUTNAME:臭雲術卷軸（Scroll (Stinking Cloud)）
Scroll (Suggestion).MOD	OUTPUTNAME:暗示術卷軸（Scroll (Suggestion)）
Scroll (Summon Monster III/Arcane).MOD	OUTPUTNAME:召喚怪物 III卷軸（Scroll (Summon Monster III/Arcane)）
Scroll (Tongues/Arcane).MOD	OUTPUTNAME:巧言術卷軸（Scroll (Tongues/Arcane)）
Scroll (Vampiric Touch).MOD	OUTPUTNAME:吸血鬼之觸卷軸（Scroll (Vampiric Touch)）
Scroll (Water Breathing/Arcane).MOD	OUTPUTNAME:水中呼吸卷軸（Scroll (Water Breathing/Arcane)）
Scroll (Wind Wall/Arcane).MOD	OUTPUTNAME:風牆術卷軸（Scroll (Wind Wall/Arcane)）
Scroll (Animate Dead/Arcane).MOD	OUTPUTNAME:操縱死屍卷軸（Scroll (Animate Dead/Arcane)）
Scroll (Arcane Eye).MOD	OUTPUTNAME:秘法眼卷軸（Scroll (Arcane Eye)）
Scroll (Beast Shape II).MOD	OUTPUTNAME:野獸形態 II卷軸（Scroll (Beast Shape II)）
Scroll (Bestow Curse/Arcane).MOD	OUTPUTNAME:降咒卷軸（Scroll (Bestow Curse/Arcane)）
Scroll (Black Tentacles).MOD	OUTPUTNAME:黑觸手卷軸（Scroll (Black Tentacles)）
Scroll (Charm Monster).MOD	OUTPUTNAME:魅惑怪物卷軸（Scroll (Charm Monster)）
Scroll (Confusion).MOD	OUTPUTNAME:困惑術卷軸（Scroll (Confusion)）
Scroll (Contagion/Arcane).MOD	OUTPUTNAME:疫病術卷軸（Scroll (Contagion/Arcane)）
Scroll (Crushing Despair).MOD	OUTPUTNAME:極度絕望卷軸（Scroll (Crushing Despair)）
Scroll (Detect Scrying).MOD	OUTPUTNAME:偵測探知卷軸（Scroll (Detect Scrying)）
Scroll (Dimension Door).MOD	OUTPUTNAME:任意門卷軸（Scroll (Dimension Door)）
Scroll (Dimensional Anchor/Arcane).MOD	OUTPUTNAME:次元錨卷軸（Scroll (Dimensional Anchor/Arcane)）
Scroll (Elemental Body I).MOD	OUTPUTNAME:元素形態 I卷軸（Scroll (Elemental Body I)）
Scroll (Enervation).MOD	OUTPUTNAME:弱能術卷軸（Scroll (Enervation)）
Scroll (Enlarge Person (Mass)).MOD	OUTPUTNAME:群體變巨術卷軸（Scroll (Enlarge Person (Mass))）
Scroll (Fear).MOD	OUTPUTNAME:恐懼術卷軸（Scroll (Fear)）
Scroll (Fire Shield).MOD	OUTPUTNAME:火焰護盾卷軸（Scroll (Fire Shield)）
Scroll (Fire Trap).MOD	OUTPUTNAME:火焰陷阱卷軸（Scroll (Fire Trap)）
Scroll (Geas (Lesser)).MOD	OUTPUTNAME:次等指使術卷軸（Scroll (Geas (Lesser))）
Scroll (Globe of Invulnerability (Lesser)).MOD	OUTPUTNAME:次等法術無效結界卷軸（Scroll (Globe of Invulnerability (Lesser))）
Scroll (Hallucinatory Terrain).MOD	OUTPUTNAME:幻景卷軸（Scroll (Hallucinatory Terrain)）
Scroll (Ice Storm).MOD	OUTPUTNAME:冰風暴卷軸（Scroll (Ice Storm)）
Scroll (Illusory Wall).MOD	OUTPUTNAME:幻牆術卷軸（Scroll (Illusory Wall)）
Scroll (Invisibility (Greater)).MOD	OUTPUTNAME:高等隱形術卷軸（Scroll (Invisibility (Greater))）
Scroll (Locate Creature).MOD	OUTPUTNAME:生物定位術卷軸（Scroll (Locate Creature)）
Scroll (Phantasmal Killer).MOD	OUTPUTNAME:魅影殺手卷軸（Scroll (Phantasmal Killer)）
Scroll (Reduce Person (Mass)).MOD	OUTPUTNAME:群體縮小術卷軸（Scroll (Reduce Person (Mass))）
Scroll (Remove Curse/Arcane).MOD	OUTPUTNAME:移除詛咒卷軸（Scroll (Remove Curse/Arcane)）
Scroll (Scrying/Arcane).MOD	OUTPUTNAME:探知卷軸（Scroll (Scrying/Arcane)）
Scroll (Shout).MOD	OUTPUTNAME:咆哮術卷軸（Scroll (Shout)）
Scroll (Solid Fog).MOD	OUTPUTNAME:重霧術卷軸（Scroll (Solid Fog)）
Scroll (Stone Shape/Arcane).MOD	OUTPUTNAME:塑石術卷軸（Scroll (Stone Shape/Arcane)）
Scroll (Stoneskin).MOD	OUTPUTNAME:石膚術卷軸（Scroll (Stoneskin)）
Scroll (Summon Monster IV/Arcane).MOD	OUTPUTNAME:召喚怪物 IV卷軸（Scroll (Summon Monster IV/Arcane)）
Scroll (Wall of Fire).MOD	OUTPUTNAME:火牆術卷軸（Scroll (Wall of Fire)）
Scroll (Wall of Ice).MOD	OUTPUTNAME:冰牆術卷軸（Scroll (Wall of Ice)）
Scroll (Animal Growth).MOD	OUTPUTNAME:動物異變卷軸（Scroll (Animal Growth)）
Scroll (Baleful Polymorph).MOD	OUTPUTNAME:惡意變形術卷軸（Scroll (Baleful Polymorph)）
Scroll (Beast Shape III).MOD	OUTPUTNAME:野獸形態 III卷軸（Scroll (Beast Shape III)）
Scroll (Break Enchantment/Arcane).MOD	OUTPUTNAME:破除結界卷軸（Scroll (Break Enchantment/Arcane)）
Scroll (Cloudkill).MOD	OUTPUTNAME:死雲術卷軸（Scroll (Cloudkill)）
Scroll (Cone of Cold).MOD	OUTPUTNAME:寒冰錐卷軸（Scroll (Cone of Cold)）
Scroll (Contact Other Plane).MOD	OUTPUTNAME:異界探知卷軸（Scroll (Contact Other Plane)）
Scroll (Dismissal/Arcane).MOD	OUTPUTNAME:驅逐術卷軸（Scroll (Dismissal/Arcane)）
Scroll (Dominate Person).MOD	OUTPUTNAME:支配人類卷軸（Scroll (Dominate Person)）
Scroll (Elemental Body II).MOD	OUTPUTNAME:元素形態 II卷軸（Scroll (Elemental Body II)）
Scroll (False Vision).MOD	OUTPUTNAME:虛假景象卷軸（Scroll (False Vision)）
Scroll (Feeblemind).MOD	OUTPUTNAME:弱智術卷軸（Scroll (Feeblemind)）
Scroll (Hold Monster).MOD	OUTPUTNAME:怪物定身術卷軸（Scroll (Hold Monster)）
Scroll (Mirage Arcana).MOD	OUTPUTNAME:海市蜃樓卷軸（Scroll (Mirage Arcana)）
Scroll (Overland Flight).MOD	OUTPUTNAME:翱翔天際卷軸（Scroll (Overland Flight)）
Scroll (Passwall).MOD	OUTPUTNAME:穿牆術卷軸（Scroll (Passwall)）
Scroll (Persistent Image).MOD	OUTPUTNAME:長駐幻影卷軸（Scroll (Persistent Image)）
Scroll (Plant Shape I).MOD	OUTPUTNAME:植物形態 I卷軸（Scroll (Plant Shape I)）
Scroll (Polymorph).MOD	OUTPUTNAME:變形術卷軸（Scroll (Polymorph)）
Scroll (Seeming).MOD	OUTPUTNAME:偽裝術卷軸（Scroll (Seeming)）
Scroll (Sending/Arcane).MOD	OUTPUTNAME:短訊術卷軸（Scroll (Sending/Arcane)）
Scroll (Summon Monster V/Arcane).MOD	OUTPUTNAME:召喚怪物 V卷軸（Scroll (Summon Monster V/Arcane)）
Scroll (Telepathic Bond).MOD	OUTPUTNAME:心靈連線卷軸（Scroll (Telepathic Bond)）
Scroll (Teleport).MOD	OUTPUTNAME:傳送術卷軸（Scroll (Teleport)）
Scroll (Wall of Force).MOD	OUTPUTNAME:力牆術卷軸（Scroll (Wall of Force)）
Scroll (Wall of Stone/Arcane).MOD	OUTPUTNAME:石牆術卷軸（Scroll (Wall of Stone/Arcane)）
Scroll (Waves of Fatigue).MOD	OUTPUTNAME:疲乏波卷軸（Scroll (Waves of Fatigue)）
Scroll (Acid Fog).MOD	OUTPUTNAME:酸霧術卷軸（Scroll (Acid Fog)）
Scroll (Analyze Dweomer).MOD	OUTPUTNAME:解析咒文卷軸（Scroll (Analyze Dweomer)）
Scroll (Bear's Endurance (Mass)/Arcane).MOD	OUTPUTNAME:群體熊之堅韌卷軸（Scroll (Bear's Endurance (Mass)/Arcane)）
Scroll (Beast Shape IV).MOD	OUTPUTNAME:野獸形態 IV卷軸（Scroll (Beast Shape IV)）
Scroll (Bull's Strength (Mass)/Arcane).MOD	OUTPUTNAME:群體牛之力量卷軸（Scroll (Bull's Strength (Mass)/Arcane)）
Scroll (Cat's Grace (Mass)).MOD	OUTPUTNAME:群體貓之優雅卷軸（Scroll (Cat's Grace (Mass))）
Scroll (Chain Lightning).MOD	OUTPUTNAME:連環閃電卷軸（Scroll (Chain Lightning)）
Scroll (Circle of Death).MOD	OUTPUTNAME:死亡法陣卷軸（Scroll (Circle of Death)）
Scroll (Contingency).MOD	OUTPUTNAME:觸發術卷軸（Scroll (Contingency)）
Scroll (Disintegrate).MOD	OUTPUTNAME:解離術卷軸（Scroll (Disintegrate)）
Scroll (Dispel Magic (Greater)/Arcane).MOD	OUTPUTNAME:高等解除魔法卷軸（Scroll (Dispel Magic (Greater)/Arcane)）
Scroll (Eagle's Splendor (Mass)/Arcane).MOD	OUTPUTNAME:群體鷹之威儀卷軸（Scroll (Eagle's Splendor (Mass)/Arcane)）
Scroll (Elemental Body III).MOD	OUTPUTNAME:元素形態 III卷軸（Scroll (Elemental Body III)）
Scroll (Eyebite).MOD	OUTPUTNAME:攝心目光卷軸（Scroll (Eyebite)）
Scroll (Flesh to Stone).MOD	OUTPUTNAME:石化術卷軸（Scroll (Flesh to Stone)）
Scroll (Form of the Dragon I).MOD	OUTPUTNAME:巨龍形態 I卷軸（Scroll (Form of the Dragon I)）
Scroll (Fox's Cunning (Mass)/Arcane).MOD	OUTPUTNAME:群體狐之狡黠卷軸（Scroll (Fox's Cunning (Mass)/Arcane)）
Scroll (Geas/Quest/Arcane).MOD	OUTPUTNAME:指使術卷軸（Scroll (Geas/Quest/Arcane)）
Scroll (Globe of Invulnerability).MOD	OUTPUTNAME:法術無效結界卷軸（Scroll (Globe of Invulnerability)）
Scroll (Heroism (Greater)).MOD	OUTPUTNAME:高等英雄氣概卷軸（Scroll (Heroism (Greater))）
Scroll (Legend Lore).MOD	OUTPUTNAME:通曉傳奇卷軸（Scroll (Legend Lore)）
Scroll (Mislead).MOD	OUTPUTNAME:假象術卷軸（Scroll (Mislead)）
Scroll (Move Earth).MOD	OUTPUTNAME:地動術卷軸（Scroll (Move Earth)）
Scroll (Owl's Wisdom (Mass)/Arcane).MOD	OUTPUTNAME:群體梟之睿智卷軸（Scroll (Owl's Wisdom (Mass)/Arcane)）
Scroll (Permanent Image).MOD	OUTPUTNAME:永恆幻影卷軸（Scroll (Permanent Image)）
Scroll (Plant Shape II).MOD	OUTPUTNAME:植物形態 II卷軸（Scroll (Plant Shape II)）
Scroll (Programmed Image).MOD	OUTPUTNAME:預置幻影卷軸（Scroll (Programmed Image)）
Scroll (Repulsion/Arcane).MOD	OUTPUTNAME:排斥術卷軸（Scroll (Repulsion/Arcane)）
Scroll (Shadow Walk).MOD	OUTPUTNAME:行影術卷軸（Scroll (Shadow Walk)）
Scroll (Stone to Flesh).MOD	OUTPUTNAME:解除石化卷軸（Scroll (Stone to Flesh)）
Scroll (Suggestion (Mass)).MOD	OUTPUTNAME:群體暗示術卷軸（Scroll (Suggestion (Mass))）
Scroll (Summon Monster VI/Arcane).MOD	OUTPUTNAME:召喚怪物 VI卷軸（Scroll (Summon Monster VI/Arcane)）
Scroll (True Seeing/Arcane).MOD	OUTPUTNAME:真知術卷軸（Scroll (True Seeing/Arcane)）
Scroll (Undeath to Death/Arcane).MOD	OUTPUTNAME:亡靈歸亡卷軸（Scroll (Undeath to Death/Arcane)）
Scroll (Arcane Sight (Greater)).MOD	OUTPUTNAME:高等秘法視力卷軸（Scroll (Arcane Sight (Greater))）
Scroll (Banishment/Arcane).MOD	OUTPUTNAME:放逐術卷軸（Scroll (Banishment/Arcane)）
Scroll (Control Undead).MOD	OUTPUTNAME:操控死靈卷軸（Scroll (Control Undead)）
Scroll (Control Weather/Arcane).MOD	OUTPUTNAME:操控天氣卷軸（Scroll (Control Weather/Arcane)）
Scroll (Delayed Blast Fireball).MOD	OUTPUTNAME:延遲爆裂火球卷軸（Scroll (Delayed Blast Fireball)）
Scroll (Elemental Body IV).MOD	OUTPUTNAME:元素形態 IV卷軸（Scroll (Elemental Body IV)）
Scroll (Finger of Death).MOD	OUTPUTNAME:死亡一指卷軸（Scroll (Finger of Death)）
Scroll (Forcecage).MOD	OUTPUTNAME:力場監牢卷軸（Scroll (Forcecage)）
Scroll (Form of the Dragon II).MOD	OUTPUTNAME:巨龍形態 II卷軸（Scroll (Form of the Dragon II)）
Scroll (Giant Form I).MOD	OUTPUTNAME:巨人形態 I卷軸（Scroll (Giant Form I)）
Scroll (Hold Person (Mass)).MOD	OUTPUTNAME:群體人類定身術卷軸（Scroll (Hold Person (Mass))）
